portfolio,average_monthly_excess_return,alpha,posterior_alpha,performance_rank,coef_smb,coef_hml,size_bin,book_to_market_bin,average_excess_return_annualized_bps
SMALL LoBM,0.0056850360435875946,-0.006749609404761478,-0.0015381192693116727,25,1.4749186086661326,0.35016304128449605,1,1,682.2043252305112
ME1 BM2,0.006691714165968147,-0.003963137915535806,-0.0009586482530357337,22,1.5297170589151574,0.2055286468648379,1,2,803.0056999161776
ME1 BM3,0.0098118256496228,-0.0012032903699126267,-0.0006944191775719022,20,1.2376463465285843,0.492636450658873,1,3,1177.419077954736
ME1 BM4,0.011256147527242247,0.0007034883391615926,0.0005093528563568338,4,1.233064752452349,0.5751768397230548,1,4,1350.73770326907
SMALL HiBM,0.01339556999161777,0.001408467265410005,0.0010959931809999956,1,1.28656127109618,0.8886952643898034,1,5,1607.4683989941325
ME2 BM1,0.006455973176865046,-0.002176897980685202,-0.0009590707795635726,23,1.1516290073030369,-0.22902413813933564,2,1,774.7167812238055
ME2 BM2,0.009320833193629505,0.00017139834727828993,0.0001348346966700101,8,1.005266769756432,0.11752203246104498,2,2,1118.4999832355406
ME2 BM3,0.009637846605196983,0.00022044428862255197,-5.461859477266101e-05,11,0.8311394221559191,0.3433216093807043,2,3,1156.541592623638
ME2 BM4,0.010301253143336127,0.00020498080346319157,-0.0001411904465846162,12,0.8292512860619831,0.5838821527756692,2,4,1236.1503772003352
ME2 BM5,0.012278278290025146,0.0003124081954515614,0.0003847499642399684,6,0.9257365397424602,0.8840192546103646,2,5,1473.3933948030176
ME3 BM1,0.007187382229673094,-0.001180649065118598,-0.0006802997279273364,19,0.8108561174315059,-0.21840893470248265,3,1,862.4858675607713
ME3 BM2,0.00899535205364627,0.0008608762830574474,0.0004550441437703618,5,0.5606923055678528,0.04742354299338967,3,2,1079.4422464375523
ME3 BM3,0.009108378876781224,0.00042934962903367724,-0.0002905584715823631,15,0.45203150284600385,0.3232945783269201,3,3,1093.005465213747
ME3 BM4,0.00998175104777871,0.0003657396449469181,0.00011453525854389319,9,0.47666206839016423,0.5623411638049132,3,4,1197.8101257334454
ME3 BM5,0.011037944677284157,-0.000629352453346322,-0.0003609050064012945,16,0.5893493432424275,0.8646763716853417,3,5,1324.553361274099
ME4 BM1,0.007269857502095558,0.00041496537444961384,0.0006522440713269812,3,0.339609401327556,-0.32906394791885835,4,1,872.382900251467
ME4 BM2,0.007772857502095557,-0.00011636091007066879,-0.0006405296381400609,17,0.2414170559635592,0.10626185881104987,4,2,932.7429002514668
ME4 BM3,0.008411497066219614,-0.00012569055252948267,-0.00023924930793765977,14,0.20798926048102317,0.3477515098417601,4,3,1009.3796479463537
ME4 BM4,0.009662871751886001,0.00018868611703281183,0.00017363081155573839,7,0.21444808490851744,0.5662617841328217,4,4,1159.5446102263202
ME4 BM5,0.010250796311818943,-0.0017549652967889487,-0.0007634247916883856,21,0.3197567994664488,0.9466193011960145,4,5,1230.095557418273
BIG LoBM,0.0069416730930427495,0.0009818704185730433,0.0006550080814669537,2,-0.1495699455211156,-0.2692739946717192,5,1,833.0007711651299
ME5 BM2,0.0064983730092204525,-4.539148664726002e-05,-0.00023836486771433376,13,-0.19067786450903149,0.02580348181829084,5,2,779.8047611064543
ME5 BM3,0.007091185247275776,-0.000318316199975882,0.00010561799713589541,10,-0.23116412017522664,0.33088040467697183,5,3,850.9422296730932
ME5 BM4,0.006700820620284996,-0.0024095272589464466,-0.0013673836572450893,24,-0.17963042114746738,0.6554411425794239,5,4,804.0984744341995
BIG HiBM,0.009696170159262364,-0.0016537288254573584,-0.0006798029576637161,18,-0.14235027301157743,0.99638828681976,5,5,1163.5404191114837
