portfolio,bootstrap_posterior_alpha_ci_low_checkpoint,bootstrap_posterior_alpha_ci_high_checkpoint,bootstrap_rank_ci_low_checkpoint,bootstrap_rank_ci_high_checkpoint,bootstrap_top_quintile_probability_checkpoint,bootstrap_bottom_quintile_probability_checkpoint,bootstrap_posterior_alpha_ci_low_final,bootstrap_posterior_alpha_ci_high_final,bootstrap_rank_ci_low_final,bootstrap_rank_ci_high_final,bootstrap_top_quintile_probability_final,bootstrap_bottom_quintile_probability_final,absolute_change_bootstrap_posterior_alpha_ci_low,absolute_change_bootstrap_posterior_alpha_ci_high,absolute_change_bootstrap_rank_ci_low,absolute_change_bootstrap_rank_ci_high,absolute_change_bootstrap_top_quintile_probability,absolute_change_bootstrap_bottom_quintile_probability,checkpoint_replicates,final_replicates,bootstrap_random_seed
BIG HiBM,-0.001820636519644667,0.0001812241370814347,9.975000000000001,23.0,0.005,0.25,-0.0018015158426216446,0.000125881742201541,10.0,24.0,0.0032,0.263,1.9120677023022354e-05,5.53423948798937e-05,0.02499999999999858,1.0,0.0018,0.013000000000000012,1000,5000,2026
BIG LoBM,0.00015636471137908195,0.0014531453616219163,1.0,10.0,0.802,0.0,0.0001496911944753974,0.0014559659586795355,1.0,10.0,0.8134,0.0,6.673516903684551e-06,2.820597057619223e-06,0.0,0.0,0.011399999999999966,0.0,1000,5000,2026
ME1 BM2,-0.0033945496201711234,-0.0002634856956424397,15.0,25.0,0.0,0.824,-0.0033871048312734456,-0.0002667435370407231,15.0,25.0,0.0,0.814,7.444788897677766e-06,3.257841398283403e-06,0.0,0.0,0.0,0.010000000000000009,1000,5000,2026
ME1 BM3,-0.0016745823666731233,0.0001256115117885331,10.0,23.0,0.002,0.213,-0.001638591186576307,0.00013290374631233834,9.0,23.0,0.001,0.2168,3.599118009681634e-05,7.29223452380524e-06,1.0,0.0,0.001,0.003799999999999998,1000,5000,2026
ME1 BM4,-0.00018958331096523303,0.0016058233472393704,1.0,13.0,0.7,0.0,-0.0001868451813215383,0.0016235534719890939,1.0,12.0,0.6884,0.0,2.738129643694746e-06,1.7730124749723445e-05,0.0,1.0,0.011599999999999944,0.0,1000,5000,2026
ME2 BM1,-0.0023587693650925358,-0.0002516871183076868,16.0,25.0,0.0,0.748,-0.0023663156229032723,-0.00024640503567515965,15.0,25.0,0.0,0.7324,7.546257810736503e-06,5.282082632527131e-06,1.0,0.0,0.0,0.015599999999999947,1000,5000,2026
ME2 BM2,-0.0007789654036106173,0.0010092686421038265,2.0,18.0,0.227,0.004,-0.0008103613855728249,0.0009988179443768956,2.0,18.0,0.1986,0.0038,3.1395981962207544e-05,1.0450697726930875e-05,0.0,0.0,0.02840000000000001,0.0002000000000000001,1000,5000,2026
ME2 BM3,-0.0007656626992715833,0.0009316363926618931,3.0,19.0,0.114,0.004,-0.0007883272513003277,0.0009519907995675886,3.0,19.0,0.1326,0.0062,2.266455202874437e-05,2.0354406905695433e-05,0.0,0.0,0.01859999999999999,0.0021999999999999997,1000,5000,2026
ME2 BM4,-0.0007646646205266554,0.0007431709315833084,4.0,19.0,0.057,0.011,-0.0008123471939302296,0.0007579092644434484,4.0,19.0,0.0578,0.0068,4.768257340357414e-05,1.4738332860140093e-05,0.0,0.0,0.0007999999999999952,0.0042,1000,5000,2026
ME2 BM5,-0.00045443253286760887,0.00119409403876535,2.0,16.0,0.396,0.0,-0.00040997063032336946,0.0012253736805641826,2.0,15.0,0.399,0.001,4.446190254423941e-05,3.1279641798832554e-05,0.0,1.0,0.0030000000000000027,0.001,1000,5000,2026
