,SMALL HiBM,BIG LoBM,ME4 BM1,ME1 BM4,ME3 BM2,ME2 BM5,ME4 BM4,ME2 BM2,ME3 BM4,ME5 BM3,ME2 BM3,ME2 BM4,ME5 BM2,ME4 BM3,ME3 BM3,ME3 BM5,ME4 BM2,BIG HiBM,ME3 BM1,ME1 BM3,ME4 BM5,ME1 BM2,ME2 BM1,ME5 BM4,SMALL LoBM
SMALL HiBM,0.6622470501762958,-0.03915695782081925,0.02837036237318689,-0.05577822322923524,0.023121751644991823,-0.051824412895754304,-0.002772991799284894,0.028622008067703795,0.037014046360523,-0.004002503209778628,0.027498307261333857,0.03197235938239819,-0.014441463081588618,0.004883703637391862,0.03674132277346896,0.03841639825369453,-0.009674072386143873,0.014556273273980208,0.0025327477921329015,-0.002737267538480715,0.02451306669767152,-0.0215363579194943,0.0007869318570560519,-0.0063586342453813985,-0.03385728221960237
BIG LoBM,-0.03915695782081925,0.8612209921983921,0.010029377470919091,-0.03402602365363162,0.029442532079589474,-0.02301767542305907,0.015491346352844278,-0.025125393748407273,-0.017455304042050482,0.06361119699705121,-0.04108329233726434,-0.03811665328209431,0.06270960443825538,0.024328304288707372,-0.014804633347858018,-0.040897226701462265,0.020673530424380176,-0.001020430973186889,0.014066196376496722,-0.04674553166613593,-0.008721632544131616,-0.017508902672216914,0.011291083434112713,0.0319823203976516,0.012420903114020552
ME4 BM1,0.02837036237318689,0.010029377470919068,0.7227355023268426,-0.02576026327345964,-0.05367103470157256,-0.024726311508764868,-0.028624538394084572,0.018875845137169663,-0.0046749964106059345,0.011530711597285144,0.04236040667597977,0.008959481100549284,-0.005915948752976411,-0.02894753105003909,0.010101530626046615,-0.031700940554881554,-0.0425776215692708,-0.052491802723363325,-0.029100348916990225,0.019026568166343745,-0.03225500887653687,-0.01764786962906398,-0.018417525153506132,0.0015612680079626921,-0.028769517133753947
ME1 BM4,-0.05577822322923524,-0.03402602365363161,-0.025760263273459604,0.6990102992787879,-0.009428950995305996,0.01503488038025757,-0.01829908383232202,-0.018726023103470574,-0.018817132417372952,-0.036923746603424144,-0.008671303044409145,-0.008376794806463427,-0.02275508253671109,-0.0016294312050503165,-0.008715550871677732,0.01588395702072011,-0.024537932345011743,0.027762971600277214,-0.011146284435627771,-0.07168957564286006,0.04682730756787233,-0.05712230693574433,-0.039222529279238624,-0.02040006139806326,0.004137308838913655
ME3 BM2,0.023121751644991813,0.029442532079589467,-0.05367103470157254,-0.009428950995306004,0.7662768469253874,-0.012950747527121203,-0.09228961352571695,-0.013102944884476147,-0.017220991303681234,-0.032413372260778096,-0.02791577037424866,-0.020751777403695718,-0.055952846549106976,-0.04591793930436659,-0.05363842984574035,-0.018889170667209687,-0.06008664502555812,-0.0343158139248106,0.00280175354523853,-0.017673734609612426,-0.0011551092152191473,0.01989137993000877,0.023685718544085674,-0.02704435741202202,0.010316139175284702
ME2 BM5,-0.05182441289575432,-0.02301767542305905,-0.02472631150876488,0.015034880380257583,-0.012950747527121227,0.7518620175129526,0.0112809339266535,0.013086381977960217,0.005761319596413118,0.01727000723489829,-0.0017728491629914324,0.02868496779538136,-0.02950406327267688,-0.007945734557518094,-0.0016563201609216,-0.00998687376101704,-0.02439405443962699,0.002399280614569993,-0.0032943674826093608,0.027391039484074765,-0.06626438363126312,-0.02556801829516895,-0.023801160636415693,0.026874807178346297,-0.02358108979548841
ME4 BM4,-0.0027729917992848968,0.015491346352844262,-0.02862453839408458,-0.018299083832322025,-0.09228961352571695,0.011280933926653487,0.7240964393093351,0.008411924313207864,-0.03736812254433918,-0.019854011119432805,0.013769436660393587,-0.026202129723571225,-0.02522208436543067,-0.01140465514017765,-0.021091269263500058,-0.05953296999537471,-0.0001869194857739097,-0.029194283936149135,0.019434178147519552,-0.013123104135550855,-0.025252924761578012,0.012759956996187533,-0.029060902099640566,-0.010606178082977221,-0.017941914533337308
ME2 BM2,0.028622008067703788,-0.025125393748407287,0.018875845137169632,-0.018726023103470595,-0.013102944884476147,0.013086381977960233,0.008411924313207865,0.6982198298447866,-0.03978751004029295,-0.038369961941162795,-0.022729051472753063,-0.03647726917101025,-0.00924757761132706,-0.0273639987211956,-0.06046065390348827,0.010661673498819468,-0.033813993749518496,0.0140116749321328,-0.04003857406398728,-0.0585961972065235,0.02824034393870827,-0.017814342528440805,-0.048289687922005844,-0.02052582365340553,0.011168777517387955
ME3 BM4,0.03701404636052303,-0.017455304042050482,-0.004674996410605935,-0.018817132417372966,-0.017220991303681227,0.00576131959641311,-0.03736812254433918,-0.03978751004029295,0.7706655039607441,-0.06760370489148482,-0.05329159824694492,-0.009627856852459019,-0.013292484797509144,-0.04483531109363433,-0.05128153077815157,-0.01723885659429943,-0.021553707240602224,0.06591848984423326,-0.013806330230137897,0.022928878280512186,0.010890714553280258,0.027779317508323752,-0.014554185081639264,-0.012899764542175235,-0.01999289856784251
ME5 BM3,-0.0040025032097786295,0.06361119699705121,0.011530711597285144,-0.036923746603424124,-0.032413372260778096,0.017270007234898334,-0.01985401111943283,-0.038369961941162815,-0.06760370489148482,0.6931671004622281,-0.014502300795346432,-0.011903917721808627,-0.01600234326307454,-0.04708726189286749,-0.04876319552763478,-0.016999361128808666,-0.029395598971628877,0.11018866157149239,-0.01635148878396575,0.02018409645047984,0.025476174169146954,-0.01737584803755046,-0.007398801977254587,-0.05574305665616666,-0.07366323717894997
ME2 BM3,0.027498307261333878,-0.04108329233726436,0.042360406675979775,-0.008671303044409155,-0.027915770374248635,-0.0017728491629914439,0.013769436660393614,-0.022729051472753083,-0.05329159824694494,-0.014502300795346437,0.7418815343274592,-0.03774346124295614,-0.012852987959009793,-0.01112123647023523,-0.06726870313073398,-0.016030586560325088,-0.022271966150882967,0.007562280204656812,-0.015181772283280444,-0.011835241631316662,-0.006804896996958164,-0.00919407675080736,0.01426353190117754,-0.0020204504686979785,0.014260780471122855
ME2 BM4,0.031972359382398195,-0.03811665328209431,0.008959481100549312,-0.008376794806463429,-0.020751777403695718,0.02868496779538134,-0.026202129723571266,-0.03647726917101027,-0.009627856852459036,-0.011903917721808622,-0.03774346124295613,0.7914325079573795,-0.006913601163576272,0.00014554151654007616,-0.021855661021709345,-0.0013420802126592206,-0.03643208242431758,-0.031845135958697854,-0.010859664109253238,-0.0335846990345339,0.021893995444298327,0.022612295470884978,-0.01951388867432192,0.016243993009477407,0.02545311643143471
ME5 BM2,-0.01444146308158862,0.06270960443825542,-0.005915948752976402,-0.02275508253671112,-0.05595284654910696,-0.029504063272676885,-0.02522208436543068,-0.009247577611327065,-0.013292484797509156,-0.01600234326307453,-0.012852987959009755,-0.0069136011635762785,0.8131438417751737,-0.024351943691732603,-0.019316743189440135,-0.02214022184967528,-0.060455375141441225,0.005418842286261055,0.0060111370135668704,0.018319230829900748,-0.0002634961643788105,-0.003952616363798233,-0.0018057316910512267,0.007487871646662354,0.006769653756986016
ME4 BM3,0.004883703637391871,0.02432830428870736,-0.028947531050039103,-0.001629431205050293,-0.04591793930436655,-0.007945734557518095,-0.011404655140177647,-0.0273639987211956,-0.04483531109363432,-0.04708726189286747,-0.011121236470235243,0.00014554151654011857,-0.024351943691732617,0.7384588277775455,-0.05006629614072877,0.0074825498607648,-0.09008044219032292,0.014506392288620515,0.005826545753049634,-0.007289338035897848,-0.0032848426048113256,-0.028479600671210813,-0.0015760238780821818,-0.04239291886322179,0.02361932733312393
ME3 BM3,0.03674132277346896,-0.014804633347858014,0.010101530626046622,-0.00871555087167774,-0.053638429845740326,-0.0016563201609216067,-0.021091269263500058,-0.06046065390348829,-0.05128153077815157,-0.04876319552763478,-0.06726870313073405,-0.021855661021709334,-0.019316743189440128,-0.05006629614072877,0.7756618275866584,-0.04890298948869985,-0.05412244686534646,0.003452632294121931,-0.02156660149208008,-0.007241287864612359,0.028151066902625425,0.07302784123650223,0.011396756332228577,-0.006653386661759353,0.025786917853052024
ME3 BM5,0.03841639825369453,-0.04089722670146226,-0.03170094055488155,0.015883957020720107,-0.018889170667209677,-0.009986873761017027,-0.059532969995374746,0.010661673498819482,-0.017238856594299464,-0.016999361128808663,-0.016030586560325088,-0.0013420802126592065,-0.022140221849675273,0.007482549860764796,-0.04890298948869989,0.6682175238838083,-0.009068053079249872,-0.026740245001321543,0.01908420596937919,0.0214725419009218,-0.041909180906451175,-0.0382582729884753,-0.004830225424858738,0.041404380458618745,-0.0142591960687166
ME4 BM2,-0.009674072386143859,0.020673530424380176,-0.0425776215692708,-0.02453793234501174,-0.06008664502555814,-0.024394054439626982,-0.00018691948577390894,-0.033813993749518524,-0.02155370724060224,-0.029395598971628856,-0.022271966150882967,-0.03643208242431758,-0.060455375141441225,-0.09008044219032292,-0.05412244686534647,-0.009068053079249863,0.7171923816138811,-0.03182634063771193,-0.0043006608091272856,-0.011738309073306839,-0.013915055845713401,0.015554186082361561,-0.02142969259963868,0.03271345258285435,0.042520910668338956
BIG HiBM,0.014556273273980217,-0.0010204309731869005,-0.052491802723363325,0.027762971600277207,-0.03431581392481061,0.0023992806145699875,-0.029194283936149135,0.014011674932132807,0.06591848984423326,0.11018866157149235,0.007562280204656828,-0.03184513595869785,0.005418842286261044,0.014506392288620515,0.0034526322941219366,-0.026740245001321546,-0.03182634063771192,0.3971179381216256,-0.014811245736871433,-0.03610368525130799,-0.016589927169843692,0.00044477199971647703,-0.0779705490609882,0.11606097941924741,-0.020080837950872
ME3 BM1,0.002532747792132902,0.014066196376496714,-0.029100348916990215,-0.011146284435627743,0.0028017535452385407,-0.0032943674826093885,0.01943417814751955,-0.04003857406398728,-0.013806330230137892,-0.016351488783965747,-0.015181772283280427,-0.010859664109253235,0.006011137013566876,0.0058265457530496416,-0.021566601492080083,0.01908420596937919,-0.004300660809127293,-0.014811245736871415,0.745562158027542,0.005760512042280692,-0.03607205687092403,-0.002530662914634093,-0.024538895118342573,-0.032622105404180056,-0.01614412971446158
ME1 BM3,-0.002737267538480724,-0.04674553166613594,0.01902656816634379,-0.07168957564286006,-0.017673734609612433,0.02739103948407473,-0.01312310413555088,-0.05859619720652354,0.0229288782805122,0.020184096450479822,-0.011835241631316662,-0.03358469903453392,0.018319230829900748,-0.007289338035897844,-0.007241287864612368,0.021472541900921786,-0.011738309073306832,-0.03610368525130799,0.005760512042280699,0.6821733715385,0.008429262858939286,-0.0031843562824955107,-0.0062948637229610265,0.011617890224430993,-0.0502800145041644
ME4 BM5,0.02451306669767152,-0.008721632544131611,-0.03225500887653687,0.04682730756787233,-0.0011551092152191432,-0.06626438363126312,-0.025252924761578,0.028240343938708265,0.010890714553280261,0.025476174169146968,-0.006804896996958156,0.021893995444298334,-0.0002634961643787989,-0.0032848426048113165,0.028151066902625452,-0.0419091809064512,-0.013915055845713401,-0.01658992716984369,-0.03607205687092404,0.008429262858939272,0.5640470383124235,-0.03291351322111454,-0.05345567335084376,-0.030844926282139553,0.013403514164570751
ME1 BM2,-0.02153635791949429,-0.017508902672216907,-0.017647869629063975,-0.05712230693574433,0.019891379930008758,-0.02556801829516895,0.012759956996187528,-0.017814342528440805,0.027779317508323742,-0.017375848037550448,-0.00919407675080736,0.022612295470884978,-0.003952616363798229,-0.02847960067121081,0.07302784123650223,-0.038258272988475284,0.01555418608236157,0.00044477199971647605,-0.0025306629146340915,-0.0031843562824955033,-0.032913513221114556,0.3593720103561701,-0.060142502213069104,-0.020089165161115825,-0.06312430029625363
ME2 BM1,0.0007869318570560319,0.011291083434112725,-0.018417525153506142,-0.03922252927923862,0.023685718544085722,-0.023801160636415686,-0.02906090209964056,-0.04828968792200579,-0.014554185081639283,-0.007398801977254618,0.014263531901177554,-0.019513888674321942,-0.001805731691051235,-0.001576023878082165,0.011396756332228584,-0.004830225424858736,-0.0214296925996387,-0.0779705490609882,-0.024538895118342556,-0.006294863722961035,-0.053455673350843724,-0.060142502213069104,0.6750027219904017,-0.025697386031296118,-0.019230702652633824
ME5 BM4,-0.006358634245381391,0.03198232039765159,0.0015612680079626839,-0.020400061398063267,-0.027044357412022026,0.026874807178346307,-0.010606178082977204,-0.020525823653405523,-0.012899764542175243,-0.055743056656166676,-0.00202045046869797,0.016243993009477393,0.007487871646662336,-0.04239291886322175,-0.006653386661759361,0.041404380458618745,0.03271345258285439,0.11606097941924741,-0.032622105404180056,0.011617890224430978,-0.030844926282139553,-0.020089165161115818,-0.0256973860312961,0.6968038931159615,-0.058642234834266505
SMALL LoBM,-0.03385728221960237,0.012420903114020554,-0.028769517133753957,0.004137308838913663,0.010316139175284702,-0.023581089795488407,-0.017941914533337287,0.011168777517387957,-0.019992898567842515,-0.07366323717894997,0.014260780471122858,0.0254531164314347,0.006769653756986016,0.02361932733312392,0.025786917853052024,-0.014259196068716604,0.042520910668338956,-0.02008083795087201,-0.01614412971446158,-0.0502800145041644,0.01340351416457076,-0.06312430029625361,-0.019230702652633835,-0.05864223483426651,0.2732812497324674
