portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,sensitivity_model,common_sample_start,common_sample_end,coef_rmw,hac_se_rmw,hac_t_rmw,p_value_rmw,coef_cma,hac_se_cma,hac_t_cma,p_value_cma
SMALL HiBM,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0017608692717883427,0.0006826037443396992,2.579636115960188,0.009890447205481247,12,0.9083833940311027,0.01901210396011629,0.0017608692717883427,0.0006826037443396992,2.579636115960188,0.009890447205481247,0.9441217650540061,0.018675165900989988,50.55493322305412,0.0,1.1027622140485007,0.048223603510737796,22.867685817028423,9.746654191927696e-116,0.6957006515696077,0.02813730337855711,24.725207039555453,5.730554227300524e-135,5.742738144863326e-05,0.0006831291107114308,0.5723094670056779,0.0011100184077078128,0.0004490962255454291,0.00022978980563877183,0.0019902470097768535,0.9932758513200377,133.20220892493754,0.0,0.049452236027406234,1,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
BIG LoBM,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0016525249791832237,0.0004392618103579734,3.7620501947039506,0.0001685262141804043,12,0.946463082242038,0.010861959269367163,0.0016525249791832237,0.0004392618103579734,3.7620501947039506,0.0001685262141804043,0.9857220457732908,0.01371131754096097,71.89112518388993,0.0,-0.23176573636510306,0.02048376969005958,-11.31460370195311,1.1110320165516075e-29,-0.35584044490048455,0.023174754345637757,-15.354658763296246,3.2963946380466497e-53,5.742738144863326e-05,0.0006831291107114308,0.7827668396591928,0.0007552490243660249,0.0003257818330499306,0.00011671663158816089,0.0013937814171438888,0.9897825719353464,90.62988292392299,0.0,0.002106577677255054,2,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME1 BM2,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,4.734340805992666e-05,0.0008370074476135814,0.056562708246992256,0.9548935414698557,12,0.9239971401952364,0.019141019512909127,4.734340805992666e-05,0.0008370074476135814,0.056562708246992256,0.9548935414698557,0.9596993251363367,0.023769630292153638,40.37502112319912,0.0,1.3303450351847321,0.0707310757975873,18.80849428887255,6.433936883966608e-79,0.012729134844626271,0.04113683049639292,0.30943402034200046,0.7569913948573394,5.742738144863326e-05,0.0006831291107114308,0.5312932379710404,0.0007325861756910791,0.0004906355444118005,-0.0002290594913560498,0.001694231842738208,0.9322993597002905,87.91034108292949,0.0,0.9548935414698557,3,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME4 BM1,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.000525134774390624,0.0007141669727899665,0.7353109208328847,0.46215015869337217,12,0.9274229817515931,0.015622619649282684,0.000525134774390624,0.0007141669727899665,0.7353109208328847,0.46215015869337217,1.0638075669989544,0.01632027662071023,65.18318235176208,0.0,0.40951180830532974,0.035761280931120826,11.451262305007564,2.3174594891165097e-30,-0.3629508034430038,0.03095259620360213,-11.72602133454528,9.376326037161603e-32,5.742738144863326e-05,0.0006831291107114308,0.5768757105679628,0.0006505106555079988,0.00047894257825972986,-0.00028821679788107175,0.0015892381088970693,0.9128034764402727,78.06127866095986,0.0,0.768787472031306,4,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME1 BM4,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0011933718557159622,0.0005786518278665085,2.0623314370507195,0.039176191992113356,12,0.950975827493499,0.012955786916583225,0.0011933718557159622,0.0005786518278665085,2.0623314370507195,0.039176191992113356,0.889543881728002,0.014319961841497442,62.11915168308732,0.0,1.085929730419107,0.028135645362884095,38.596226118617516,0.0,0.477244444959487,0.026547305603698515,17.977133050105028,2.943230331585801e-72,5.742738144863326e-05,0.0006831291107114308,0.6450024902314303,0.0006310314716889943,0.0004412193526103409,-0.00023375845942727382,0.0014958214028052623,0.9236700421165681,75.72377660267931,0.0,0.13991497140040485,5,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME4 BM4,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0005500013389460932,0.0006220993828843483,0.8841052636895823,0.3766393920249914,12,0.8835840890996376,0.01724525244465027,0.0005500013389460932,0.0006220993828843483,0.8841052636895823,0.3766393920249914,1.0231323466371807,0.022323088764521295,45.83292023025386,0.0,0.2344524493550459,0.03396103972751648,6.903571010668554,5.071128842204087e-12,0.5668795230038292,0.05683072225485203,9.974878032725174,1.963425330097489e-23,5.742738144863326e-05,0.0006831291107114308,0.6235684593095052,0.0006056750687769196,0.00046482011812934546,-0.0003053723627565975,0.0015167225003104366,0.9037179275182323,72.68100825323035,0.0,0.7630312404139892,6,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME2 BM2,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.00017656785048115548,0.0005589153755858737,0.31591159984831546,0.7520696070769233,12,0.9466044958391304,0.014072297077726087,0.00017656785048115548,0.0005589153755858737,0.31591159984831546,0.7520696070769233,1.014533349452282,0.016133005650084797,62.885575785250495,0.0,0.9277218107173952,0.037664166274056526,24.631417670764154,5.8216201422344e-134,0.10347022002992351,0.04764541259963387,2.17167224260156,0.02988039363925232,5.742738144863326e-05,0.0006831291107114308,0.6986504319706948,0.0004110695909087897,0.00042762170569323203,-0.0004270689522499451,0.0012492081340675244,0.831797471842826,49.328350909054755,0.0,0.8546245534965038,7,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME3 BM2,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0003999878474915984,0.000590307649471677,0.677592180703716,0.4980303052625489,12,0.922450703038564,0.015348023102905794,0.0003999878474915984,0.000590307649471677,0.677592180703716,0.4980303052625489,1.0213479774604433,0.012713657454384273,80.33470943550032,0.0,0.5966875915726838,0.03906569258946852,15.273953999564855,1.1404325454267823e-52,0.14426541017645486,0.051925612151198224,2.7783092812922345,0.005464258027778763,5.742738144863326e-05,0.0006831291107114308,0.7104512004759069,0.0002756506034364795,0.0004148079825855908,-0.0005373730424312785,0.0010886742493042374,0.7468230767713203,33.07807241237754,0.0,0.768787472031306,8,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME5 BM2,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-4.056841116237011e-05,0.000524031350599377,-0.07741600023733072,0.9382926126325071,12,0.8935753067953345,0.01439834066632003,-4.056841116237011e-05,0.000524031350599377,-0.07741600023733072,0.9382926126325071,0.9735518261893032,0.02056673498343862,47.3362362559374,0.0,-0.18784005324827874,0.03995491385447186,-4.7013004190786205,2.585098553261346e-06,0.08235737129594012,0.04783302030083926,1.7217681588568872,0.08511152475496665,5.742738144863326e-05,0.0006831291107114308,0.7072306599452315,0.00017947153013142598,0.00039546345597068,-0.0005956368435711067,0.0009545799038339587,0.6750229036526335,21.536583615771118,0.0,0.9548935414698557,9,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME2 BM3,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0006042315170877536,0.0006425565988522423,0.9403553214877158,0.3470353315914523,12,0.9298836617721725,0.014759041481833064,0.0006042315170877536,0.0006425565988522423,0.9403553214877158,0.3470353315914523,0.9791711664155481,0.020660636470550713,47.3930785148483,0.0,0.7652481161811948,0.07428897045322393,10.300965426126528,6.975766120505004e-25,0.37293602020577277,0.06344291130118171,5.878292981154955,4.14518783039893e-09,5.742738144863326e-05,0.0006831291107114308,0.6584390058939071,0.00017868624299899446,0.00043273391551440634,-0.000669472231409242,0.001026844717407231,0.6601688717165224,21.442349159879335,0.0,0.7630312404139892,10,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
