portfolio,posterior_alpha_ff3,performance_rank_ff3,alpha_fdr_q_value_ff3,posterior_alpha_ff5,performance_rank_ff5,alpha_fdr_q_value_ff5,posterior_alpha_difference_ff5_minus_ff3,rank_change_ff5_minus_ff3
SMALL HiBM,0.0011100184077078128,1,0.049452236027406234,0.0011010581152282907,1,0.06326255406312362,-8.96029247952207e-06,0
BIG LoBM,0.0007552490243660249,2,0.002106577677255054,0.0004899425785620108,6,0.045172163014368376,-0.000265306445804014,4
ME1 BM2,0.0007325861756910791,3,0.9548935414698557,0.0004986762659157978,5,0.19242906237109483,-0.0002339099097752813,2
ME4 BM1,0.0006505106555079988,4,0.768787472031306,0.0005816298302955265,2,0.3030877490835095,-6.888082521247225e-05,-2
ME1 BM4,0.0006310314716889943,5,0.13991497140040485,0.0005638178181172006,3,0.0546181135090858,-6.721365357179369e-05,-2
ME4 BM4,0.0006056750687769196,6,0.7630312404139892,0.000533801939316441,4,0.8476368294349508,-7.187312946047855e-05,-2
ME2 BM2,0.0004110695909087897,7,0.8546245534965038,0.00035837665215653156,7,0.828720336837388,-5.269293875225813e-05,0
ME3 BM2,0.0002756506034364795,8,0.768787472031306,0.00019669415125619683,11,0.977893163385918,-7.895645218028267e-05,3
ME5 BM2,0.00017947153013142598,9,0.9548935414698557,-9.557246219722354e-05,20,0.2482053147225224,-0.0002750439923286495,11
ME2 BM3,0.00017868624299899446,10,0.7630312404139892,0.00028890067144582513,9,0.8646100655213325,0.00011021442844683067,-1
ME3 BM4,0.00016644943068372682,11,0.8546245534965038,0.00032861221083359395,8,0.8572870272064851,0.00016216278014986714,-3
ME5 BM3,4.293226994727742e-05,12,0.768787472031306,0.00020215137764659327,10,0.35961371659458774,0.00015921910769931585,-2
ME2 BM4,2.156175568521003e-05,13,0.7630312404139892,0.00011152662058227691,14,0.8476368294349508,8.996486489706688e-05,1
ME3 BM3,-4.799859201942734e-05,14,0.8546245534965038,8.387980112089242e-05,15,0.3030877490835095,0.00013187839314031976,1
BIG HiBM,-7.374107958454324e-05,15,0.3404171172866263,0.00019117105754003805,12,0.8725273740070697,0.0002649121371245813,-3
ME2 BM5,-7.545283598441868e-05,16,0.8546245534965038,-0.00015273203563945443,21,0.8476368294349508,-7.727919965503575e-05,5
ME1 BM3,-0.00010426178788457523,17,0.8546245534965038,-1.61574657478423e-06,17,0.8476368294349508,0.000102646041309791,0
ME4 BM3,-0.00012246422244132886,18,0.768787472031306,-8.507335356375923e-05,19,0.2270937810295125,3.739086887756963e-05,1
ME3 BM5,-0.00015948759385843328,19,0.9548935414698557,-0.0001852570980957213,22,0.8476368294349508,-2.5769504237288022e-05,3
ME4 BM5,-0.00018957429949155222,20,0.2878318312103648,-7.436467464375308e-05,18,0.29577088323380957,0.00011520962484779914,-2
ME2 BM1,-0.00024291511689048095,21,0.02282430171830044,0.00012257288431239582,13,0.3030877490835095,0.00036548800120287674,-8
ME3 BM1,-0.0004573522983159424,22,0.07445011961074827,4.9073699690281363e-05,16,0.8476368294349508,0.0005064259980062237,-6
ME4 BM2,-0.0005386161071248846,23,0.7630312404139892,-0.0004837576407699253,23,0.11609760040166123,5.4858466354959284e-05,0
ME5 BM4,-0.000759263509768858,24,0.02282430171830044,-0.0006662655546494494,24,0.024183135255555946,9.299795511940863e-05,0
SMALL LoBM,-0.0015540802479504577,25,5.710044822242766e-05,-0.00120032238975471,25,0.004490208224279542,0.00035375785819574766,0
