extreme_type,window_end,forward_start,forward_end,rank_vs_forward_alpha_spearman,average_top_quintile_minus_average_bottom_quintile_forward_alpha_annualized_bps,best_ranked_minus_worst_ranked_forward_alpha_annualized_bps
lowest_average_quintile_spread,1970-06-30 23:59:59.999999999,1970-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,-0.29000000000000004,-641.9772196825498,-238.41059545018638
lowest_average_quintile_spread,2024-06-30 23:59:59.999999999,2024-07-31 23:59:59.999999999,2025-06-30 23:59:59.999999999,-0.23615384615384616,-611.9866293615818,-2043.9693469463352
lowest_average_quintile_spread,2007-06-30 23:59:59.999999999,2007-07-31 23:59:59.999999999,2008-06-30 23:59:59.999999999,-0.30153846153846153,-573.424806055376,-627.0867593429342
lowest_average_quintile_spread,1952-06-30 23:59:59.999999999,1952-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,-0.31153846153846154,-505.55489524133344,123.53173169547635
lowest_average_quintile_spread,1966-06-30 23:59:59.999999999,1966-07-31 23:59:59.999999999,1967-06-30 23:59:59.999999999,-0.22384615384615386,-449.2401223305169,-837.571800340251
highest_average_quintile_spread,1999-06-30 23:59:59.999999999,1999-07-31 23:59:59.999999999,2000-06-30 23:59:59.999999999,0.22999999999999998,1151.9743620784393,-438.302244677136
highest_average_quintile_spread,1996-06-30 23:59:59.999999999,1996-07-31 23:59:59.999999999,1997-06-30 23:59:59.999999999,0.39076923076923076,1110.5145327661635,1253.430093687016
highest_average_quintile_spread,2020-06-30 23:59:59.999999999,2020-07-31 23:59:59.999999999,2021-06-30 23:59:59.999999999,0.1476923076923077,1018.0892213813258,-223.58286494073718
highest_average_quintile_spread,1938-06-30 23:59:59.999999999,1938-07-31 23:59:59.999999999,1939-06-30 23:59:59.999999999,0.09692307692307693,982.1373744409058,-364.1888345443081
highest_average_quintile_spread,1956-06-30 23:59:59.999999999,1956-07-31 23:59:59.999999999,1957-06-30 23:59:59.999999999,0.33153846153846156,960.6510242106077,1224.066730238592
