portfolio,window_end,forward_start,forward_end,forward_months,posterior_alpha,performance_rank,quintile,forward_alpha_monthly,forward_alpha_annualized_bps
ME3 BM2,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0015710427317303193,1,5,-0.004164881869133963,-499.7858242960756
ME3 BM3,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0015565082693879341,2,5,0.008821876837124898,1058.6252204549878
ME5 BM2,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0014338013903272841,3,5,-0.0013750123237393963,-165.00147884872754
SMALL HiBM,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0014004367428326636,4,5,-0.009842322904776149,-1181.0787485731378
BIG LoBM,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0013634943603329367,5,5,-0.002190237783172669,-262.8285339807203
ME2 BM5,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.001344430039439526,6,4,-0.013027479359642205,-1563.2975231570645
ME1 BM4,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0012952285264248235,7,4,-0.0008302251689837822,-99.62702027805386
ME4 BM2,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.00122248429963373,8,4,-0.004081464827091023,-489.77577925092277
ME1 BM3,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0012081672309350153,9,4,-0.008776638799052968,-1053.1966558863562
BIG HiBM,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0011793287564260478,10,4,-0.004802697510745993,-576.3237012895192
ME2 BM3,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.001175192371370487,11,3,-0.0066501694393498595,-798.0203327219831
ME4 BM4,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0011750291843228456,12,3,0.0007299074095375429,87.58888914450515
ME4 BM1,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0011566459089802337,13,3,0.0018954076444489298,227.44891733387155
ME3 BM1,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0011506221829191176,14,3,-0.002435409871148127,-292.24918453777525
ME2 BM2,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0011137935570318107,15,3,0.0006620669625081553,79.44803550097863
SMALL LoBM,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0011093582173422013,16,2,-0.05645992348651021,-6775.190818381225
ME4 BM5,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0010829246816256024,17,2,0.005228761968569734,627.4514362283682
ME3 BM4,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0010587009750962445,18,2,0.0005570558278726942,66.8466993447233
ME2 BM4,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.001031210092641948,19,2,-0.003910483443440404,-469.2580132128485
ME1 BM2,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.000991581131795437,20,2,-0.030107391969941454,-3612.8870363929746
ME5 BM3,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0009148611518860673,21,1,-0.001744968034531354,-209.3961641437625
ME2 BM1,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0008719956474271094,22,1,-0.004303343276557454,-516.4011931868945
ME5 BM4,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0008084796865370574,23,1,0.004055112594976835,486.6135113972202
ME4 BM3,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.0008046430766236754,24,1,0.003584262395034866,430.11148740418395
ME3 BM5,1936-06-30 23:59:59.999999999,1936-07-31 23:59:59.999999999,1937-06-30 23:59:59.999999999,12,0.000776526408428922,25,1,0.010163671457648743,1219.640574917849
ME3 BM3,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.0033749861709214007,1,5,-9.036131085929436e-05,-10.843357303115322
ME3 BM2,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.0019387103537118796,2,5,-2.925896393182921e-05,-3.5110756718195053
ME1 BM4,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.0015499934402717198,3,5,0.009914829682108276,1189.779561852993
SMALL HiBM,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.0014836558373445296,4,5,-0.0015713006797373255,-188.55608156847904
BIG LoBM,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.001457195432677508,5,5,0.0021715330699948027,260.5839683993763
ME5 BM2,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.0013971697767023194,6,4,0.00030764757075641926,36.917708490770316
ME1 BM3,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.0013953738784432705,7,4,0.004668421746362744,560.2106095635293
ME3 BM1,1937-06-30 23:59:59.999999999,1937-07-31 23:59:59.999999999,1938-06-30 23:59:59.999999999,12,0.0013154224525260233,8,4,0.00214958215340038,257.94985840804566
