portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,historical_anchor_start,historical_anchor_end
ME4 BM1,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.0011924578986849195,0.0008969680150580536,1.3294319068977518,0.18370551701156645,12,0.9459300132651379,0.013651127011923867,0.0011924578986849195,0.0008969680150580536,1.3294319068977518,0.18370551701156645,1.0598318957712953,0.02369032137751019,44.7369150837025,0.0,0.29682721239829835,0.038052449951375474,7.800475732248326,6.167422744469313e-15,-0.4501674540924663,0.043664831046690424,-10.309611724160941,6.375838757914834e-25,0.0003074969276045431,0.00037676423921318043,0.2898831235930976,0.0006942769871738513,0.0003520084525446244,4.340420186387558e-06,0.001384213554161315,0.9757140517393654,83.31323846086217,0.0,0.5102931028099068,1,1963-07-01,1991-12-31
ME1 BM4,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.0006856674961252559,0.0006172342403228105,1.1108708029007839,0.2666239646433165,12,0.9662484072201567,0.010915234148450609,0.0006856674961252559,0.0006172342403228105,1.1108708029007839,0.2666239646433165,0.9011081867150844,0.02068017371599214,43.573530817018735,0.0,1.1020433039443442,0.02821864456138912,39.05372923022118,0.0,0.3930712409864719,0.03783236086890369,10.389815278738178,2.758869020796202e-25,0.0003074969276045431,0.00037676423921318043,0.47201767783760534,0.0006383256923311259,0.00031767171955111395,1.5689122010942628e-05,0.0012609622626513091,0.9777519909256555,76.59908307973511,0.0,0.5554665930069094,2,1963-07-01,1991-12-31
ME2 BM4,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.0014774716210829725,0.0005823348757029812,2.5371511869341554,0.011175867814633093,12,0.9566078340780323,0.011150763143145498,0.0014774716210829725,0.0005823348757029812,2.5371511869341554,0.011175867814633093,0.9677873886556765,0.021746210360060008,44.50372605762864,0.0,0.6999335087321654,0.0317535516693348,22.042684107305977,1.1227980987312673e-107,0.4683425628101874,0.03404012222495682,13.758545275340339,4.525412892432224e-43,0.0003074969276045431,0.00037676423921318043,0.4347286280150304,0.0006127792660475344,0.0003045522806999762,1.5856795875581007e-05,0.0012097017362194878,0.9778935059143333,73.53351192570413,0.0,0.09555634288043702,3,1963-07-01,1991-12-31
ME5 BM3,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0004384231160472873,0.0008546093790767778,-0.5130099514247193,0.6079443595938283,12,0.8631581204530654,0.016199735142149903,-0.0004384231160472873,0.0008546093790767778,-0.5130099514247193,0.6079443595938283,0.9744279594524096,0.03395435630502097,28.698172060717784,4.020984192707699e-181,-0.2657241395353916,0.04536545715754133,-5.857411259245271,4.7013788402934435e-09,0.1965021170436665,0.06311530813377336,3.1133828361762697,0.0018495592971853663,0.0003074969276045431,0.00037676423921318043,0.32331791644000446,0.0005877007174568054,0.0003227827986898749,-4.49535679753494e-05,0.0012203550028889601,0.9656761376727412,70.52408609481664,0.0,0.7974394885570978,4,1963-07-01,1991-12-31
ME5 BM2,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0002060369184918057,0.000783161053605447,-0.2630837138073597,0.7924860564172244,12,0.923788052004878,0.01299647795613199,-0.0002060369184918057,0.000783161053605447,-0.2630837138073597,0.7924860564172244,1.0281582768462814,0.02825895590335737,36.38344885644302,7.778334931717815e-290,-0.1959946379978059,0.04321262801089421,-4.535587096169996,5.7443466169284725e-06,-0.015228493931234686,0.05595482387761206,-0.27215694511957383,0.7855013454908316,0.0003074969276045431,0.00037676423921318043,0.3383071921515566,0.0005470928239385023,0.0003261674666488924,-9.219541069332689e-05,0.0011863810585703316,0.9532617185463227,65.65113887262027,0.0,0.8255063087679421,5,1963-07-01,1991-12-31
SMALL HiBM,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.0006074024964313759,0.0006345868560637123,0.9571621136293955,0.33848543644926377,12,0.963996013903598,0.011951645445599263,0.0006074024964313759,0.0006345868560637123,0.9571621136293955,0.33848543644926377,0.9521453585292436,0.024144878843799025,39.434671206634654,0.0,1.1904801452243199,0.030602836185375595,38.90097434149661,0.0,0.6134486133832291,0.0435036024294622,14.101099199264926,3.739000533107193e-45,0.0003074969276045431,0.00037676423921318043,0.406642475939822,0.0005346229378257688,0.00030723782081935224,-6.756319098016157e-05,0.0011368090666316992,0.9590788143893033,64.15475253909226,0.0,0.6509335316331997,6,1963-07-01,1991-12-31
ME4 BM5,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.00034478589441095726,0.00080868261565122,0.42635502202963316,0.6698491703879621,12,0.8990287312001669,0.017920539375264114,0.00034478589441095726,0.00080868261565122,0.42635502202963316,0.6698491703879621,1.1457218052837603,0.030763473379177453,37.24292738866259,1.3791810221302915e-303,0.3577296720434535,0.05176585276057855,6.910533739258262,4.828335827166564e-12,0.7475401661520417,0.04571506114474704,16.352163760322103,4.1980440024893866e-60,0.0003074969276045431,0.00037676423921318043,0.26840233406968916,0.0004873798686761015,0.0003727002840290505,-0.00024311268802083749,0.0012178724253730404,0.9045123250622666,58.48558424113218,0.0,0.7974394885570978,7,1963-07-01,1991-12-31
ME4 BM4,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.0009624385321967407,0.0008462033408178168,1.1373608277965293,0.2553874758041732,12,0.9090360781261415,0.014872123361039769,0.0009624385321967407,0.0008462033408178168,1.1373608277965293,0.2553874758041732,1.0308331227442489,0.03021041911263761,34.121774971106944,3.5073156636379228e-255,0.2386764771538301,0.0353592371553653,6.750045995198008,1.477982942991491e-11,0.5579811790783771,0.050468852118045957,11.055951456420422,2.0514994885880166e-28,0.0003074969276045431,0.00037676423921318043,0.3453253312914943,0.0004590612542894431,0.00034055436908555055,-0.00020842530911823593,0.0011265478176971221,0.9111679587024026,55.087350514733174,0.0,0.5554665930069094,8,1963-07-01,1991-12-31
ME2 BM3,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.0014349880431512932,0.0007420205184039289,1.9338926721836796,0.05312632528074497,12,0.9577946093317183,0.011816441884290908,0.0014349880431512932,0.0007420205184039289,1.9338926721836796,0.05312632528074497,0.9696302145009388,0.022473139900490668,43.14618334573569,0.0,0.844662693641937,0.03179466547759824,26.56617646243412,1.6702634613766045e-155,0.23481392416518784,0.04140223193901632,5.671528156043822,1.4152933486368058e-08,0.0003074969276045431,0.00037676423921318043,0.3862871734238658,0.00044793204783928294,0.00031400754477075936,-0.0001675227399114054,0.0010633868355899713,0.9231380975488572,53.751845740713954,0.0,0.26563162640372484,9,1963-07-01,1991-12-31
ME3 BM4,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.0011307567893287921,0.0006884419213346603,1.6424868304600484,0.10048915321453188,12,0.9412127499143809,0.01192322371026948,0.0011307567893287921,0.0006884419213346603,1.6424868304600484,0.10048915321453188,0.9702028750888404,0.01676829261999386,57.8593716769952,0.0,0.4451672778575806,0.029692749623185487,14.992457199382208,8.225295662966562e-51,0.5114151010815676,0.03462357738384001,14.770718098016708,2.262890096618091e-49,0.0003074969276045431,0.00037676423921318043,0.3834458740448633,0.0003888865375824426,0.0003249490696182093,-0.0002480136388692476,0.001025786714034133,0.8843002367583273,46.666384509893106,0.0,0.35888983290904236,10,1963-07-01,1991-12-31
