portfolio,BIG HiBM,BIG LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME5 BM2,ME5 BM3,ME5 BM4,SMALL HiBM,SMALL LoBM
BIG HiBM,1.305906790678315e-06,3.740433985875212e-08,1.333072002318214e-08,1.1086110703343555e-07,-9.05563109729901e-08,2.163439145477992e-07,-6.599807280945301e-08,-4.7073152847489613e-08,8.552652426851074e-08,3.642206606599601e-08,1.855574635367084e-08,7.167654976625874e-08,-4.676482596458567e-08,-2.0423942232098875e-07,1.1497625120976544e-07,1.7354721471702776e-07,9.045486397853601e-08,-7.709894626617786e-08,8.885569098349298e-08,1.1895261276296833e-07,-1.2578258280726746e-08,-3.706518877602598e-07,-3.632578641018678e-07,-5.425606483524542e-08,2.4198819747934447e-10
BIG LoBM,3.740433985875212e-08,1.3056440045306953e-07,3.4602824395510314e-08,5.982279815175703e-08,3.528306869669125e-08,-4.7536693740774694e-09,2.308137891891765e-08,4.1453878874715006e-08,3.748406093573736e-08,2.1288087069465026e-08,-1.567106993955623e-08,-3.995272689814638e-08,4.818451501890622e-09,-8.487310257519915e-10,4.0958959543835876e-08,-1.7427614653295904e-08,-2.490256816161074e-08,-3.774903771358491e-08,-2.161415980091019e-08,9.793132291132936e-09,-6.122353238449338e-08,-8.636194858296497e-08,-5.545892511010278e-08,3.928686828149865e-08,-4.0921757543501185e-08
ME1 BM2,1.333072002318214e-08,3.4602824395510314e-08,1.3978065976365314e-06,5.654336728954973e-08,1.810262154761302e-07,2.3712710310981362e-07,3.107085612467591e-08,-2.2134272383539568e-08,-9.177026245073518e-08,1.0978656897616547e-07,3.767665851904123e-08,-7.321344853524763e-08,-2.2150374913478037e-07,-6.1800262595398e-08,1.0451027873317542e-07,9.038251898985972e-08,-7.593580263116848e-08,4.309339624036419e-08,-7.206446625910026e-09,1.473792761300618e-07,-9.661685398525843e-11,9.99347258034132e-08,1.287379797310213e-07,1.2950474884715998e-07,6.13745522343703e-07
ME1 BM3,1.1086110703343555e-07,5.982279815175703e-08,5.654336728954973e-08,3.374561689950777e-07,1.0837788138875625e-07,4.032067804775496e-08,8.819591733645761e-08,1.918511454313475e-08,5.115756437708945e-08,-3.088917672085009e-08,3.418179355102151e-09,2.4777025302199123e-08,8.995363637817876e-09,-2.351525848084542e-08,-1.9222016628568245e-08,-8.293284444202618e-09,1.8520557428172506e-08,5.8754748415537875e-09,2.705190762380088e-08,-2.6475675015107955e-08,-2.0804143944040674e-08,-1.729402434083652e-08,-1.3981107862623317e-08,1.7299005001112326e-08,1.7224432648898125e-07
ME1 BM4,-9.05563109729901e-08,3.528306869669125e-08,1.810262154761302e-07,1.0837788138875625e-07,3.272634310442613e-07,6.895339506905276e-08,6.1533376951699e-08,2.051661003904645e-08,1.3478562186602255e-08,-1.3458859430139856e-08,2.2227534484914937e-08,2.0339542906214426e-08,1.3246086345463932e-08,4.300638074297914e-08,-1.9396388404809177e-08,2.8063540094775146e-08,3.8506661178789395e-08,3.162131929125036e-08,2.989073214246894e-08,-7.39410539661277e-08,3.2264164639791014e-08,9.698084339236678e-08,6.600829709570581e-08,9.01160745679588e-08,9.001343813082607e-08
ME2 BM1,2.163439145477992e-07,-4.7536693740774694e-09,2.3712710310981362e-07,4.032067804775496e-08,6.895339506905276e-08,3.7826229155002926e-07,6.715856859532921e-08,-2.1133132196861373e-08,2.184319832778077e-08,5.2899006230234836e-08,5.229330857045126e-08,-9.762265280810366e-09,-3.471661624929241e-08,1.368697435809184e-09,3.9350286811163163e-08,6.943163511940292e-08,3.8407645554574055e-08,1.2514127864871494e-08,5.833880341206515e-08,1.2208634428089397e-07,9.30966234332295e-09,5.143402640742815e-09,2.699448553309525e-08,1.029393398799149e-08,1.6319325253697094e-07
ME2 BM2,-6.599807280945301e-08,2.308137891891765e-08,3.107085612467591e-08,8.819591733645761e-08,6.1533376951699e-08,6.715856859532921e-08,3.258365770438844e-07,6.298299396006134e-08,6.555998998929938e-08,-2.7970999512230875e-08,5.853705520317004e-08,4.3884255672589724e-08,1.1128471438497682e-07,8.740474088777578e-08,-8.42762395349874e-09,-2.365329687964757e-08,7.571827201855222e-08,7.275765855015902e-08,6.002031750000992e-09,-5.386834262803267e-08,2.4920623024389305e-08,9.872044952970266e-08,5.302778330047746e-08,-4.728324923988284e-08,-1.7680038308928138e-08
ME2 BM3,-4.7073152847489613e-08,4.1453878874715006e-08,-2.2134272383539568e-08,1.918511454313475e-08,2.051661003904645e-08,-2.1133132196861373e-08,6.298299396006134e-08,2.5171144628007057e-07,6.016767700663053e-08,-7.604675375633453e-09,2.102126598613757e-08,5.274916615944625e-08,1.133753568085507e-07,8.775023261616953e-08,2.9682865177103146e-08,-5.003576617995209e-08,5.6049190596763605e-08,4.184873919204394e-08,-2.155880839491952e-09,-4.464314127066654e-09,2.5665030422188304e-08,4.541580807598774e-08,8.234510962742962e-09,-5.2625606833185425e-08,-7.689817397743655e-08
ME2 BM4,8.552652426851074e-08,3.748406093573736e-08,-9.177026245073518e-08,5.115756437708945e-08,1.3478562186602255e-08,2.184319832778077e-08,6.555998998929938e-08,6.016767700663053e-08,1.9667217489957676e-07,-4.1905071780813536e-08,1.2050657697580055e-08,4.9200012713340226e-08,6.40138373192559e-08,2.452729189606571e-08,1.2284298740866124e-08,-7.05613908955171e-09,7.205299959066502e-08,1.6712072726560398e-08,3.9934111836460955e-08,-3.659410658296748e-08,1.5385422787513008e-08,-1.7500642108750837e-11,-4.4984901888793816e-08,-6.006767743242042e-08,-1.2204348507906607e-07
ME2 BM5,3.642206606599601e-08,2.1288087069465026e-08,1.0978656897616547e-07,-3.088917672085009e-08,-1.3458859430139856e-08,5.2899006230234836e-08,-2.7970999512230875e-08,-7.604675375633453e-09,-4.1905071780813536e-08,2.367447664552745e-07,1.0020439135658324e-08,9.784165308141876e-09,-2.1781607669426844e-08,-1.7310080167662707e-08,3.141254807980645e-08,4.9181418152831726e-08,2.8076252988289297e-08,8.67582638010244e-09,-2.9105443068941532e-09,1.1942133288392555e-07,3.270851189799255e-08,-2.3661041435895998e-08,-2.5109908324361846e-08,7.192115353659966e-08,9.717683103498854e-08
