portfolio,bootstrap_replicates,bootstrap_posterior_alpha_median,bootstrap_posterior_alpha_ci_low,bootstrap_posterior_alpha_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_top_quintile_probability,bootstrap_bottom_quintile_probability,bootstrap_block_length_months,bootstrap_random_seed
BIG HiBM,200,-0.001129281541477697,-0.0025775858946558176,5.179448108311901e-05,20.0,7.9750000000000005,23.025000000000006,0.005,0.315,12,2026
BIG LoBM,200,0.0009027416802067083,0.0002841681134168089,0.0015821696909878375,3.0,1.0,9.050000000000011,0.88,0.0,12,2026
ME1 BM2,200,-0.002332422212729476,-0.0038920917755851637,-0.0008694814337761896,24.0,20.0,25.0,0.0,0.94,12,2026
ME1 BM3,200,-0.0009764768327009454,-0.0020752178146943422,-2.0402007340542313e-05,19.0,10.975000000000001,22.0,0.0,0.175,12,2026
ME1 BM4,200,0.000562898371756518,-0.00043564272289131113,0.0014095721582381702,5.0,1.0,15.0,0.525,0.0,12,2026
ME2 BM1,200,-0.0018081764775849801,-0.0028800610445593,-0.0008610406316696063,22.0,18.975,25.0,0.0,0.9,12,2026
ME2 BM2,200,0.00016735768507586174,-0.0007390489749657198,0.0013030496121811683,9.5,2.0,17.0,0.235,0.0,12,2026
ME2 BM3,200,0.0001513947275745129,-0.0006375417588159174,0.0011264798520873602,9.0,2.0,17.0,0.18,0.0,12,2026
ME2 BM4,200,0.00012065397186836058,-0.0006809638117145845,0.0009282159988179124,10.0,3.0,17.0,0.12,0.005,12,2026
ME2 BM5,200,0.0002289613771425113,-0.0006545433798372701,0.0011925412241526453,9.0,2.0,17.0,0.235,0.0,12,2026
ME3 BM1,200,-0.0010105139570419665,-0.0018902021975649977,-0.00023756846478200792,19.0,13.975000000000001,22.0,0.0,0.205,12,2026
ME3 BM2,200,0.0007034191485314444,-0.00020643934838932083,0.0014972996627873553,4.0,1.0,11.0,0.71,0.0,12,2026
ME3 BM3,200,0.00032706962762130045,-0.0005297285194498667,0.001161343111455592,7.0,2.0,14.025000000000006,0.35,0.0,12,2026
ME3 BM4,200,0.0003198277600329467,-0.0004979022402948424,0.0010980291183834653,8.0,2.0,16.0,0.255,0.0,12,2026
ME3 BM5,200,-0.0005682807516351205,-0.0013490441925280362,0.00040066600635758735,17.0,8.975000000000001,21.0,0.015,0.03,12,2026
ME4 BM1,200,0.0002913606796330182,-0.0005963141014842738,0.0010737351892700807,8.0,1.0,16.0,0.28,0.0,12,2026
ME4 BM2,200,-0.0001338751448506799,-0.0010619743713275432,0.0007468356631341026,13.0,4.0,18.0,0.045,0.01,12,2026
ME4 BM3,200,-0.00010944691039989171,-0.0010777042698738675,0.0007224384879098058,13.0,5.0,19.0,0.03,0.0,12,2026
ME4 BM4,200,9.544582493454664e-05,-0.0007327737337306592,0.0009686770287999324,10.0,2.0,17.0,0.165,0.0,12,2026
ME4 BM5,200,-0.0014245801149667943,-0.0025458248595670984,-0.0003387782541657053,21.0,16.0,24.0,0.0,0.53,12,2026
ME5 BM2,200,-0.00010239074772487335,-0.0007243718284534654,0.0006915662050440528,13.0,4.0,18.0,0.05,0.0,12,2026
ME5 BM3,200,-0.00021426745509251524,-0.0013179321164685576,0.0008558815825200146,14.0,4.0,20.0,0.06,0.02,12,2026
ME5 BM4,200,-0.0019642262547243227,-0.0029785964146035594,-0.0009635828841216937,23.0,19.0,25.0,0.0,0.885,12,2026
SMALL HiBM,200,0.0010470265877333086,0.00017546985730343558,0.0020130686747966598,2.0,1.0,10.025000000000006,0.86,0.0,12,2026
SMALL LoBM,200,-0.002925764607031413,-0.005543559578067465,-0.0010658839859979314,25.0,21.0,25.0,0.0,0.985,12,2026
