portfolio,factor_model,residual_mean,residual_std,residual_skewness,residual_kurtosis,jarque_bera_stat,jarque_bera_p_value,durbin_watson,ljung_box_lag_12_stat,ljung_box_lag_12_p_value,arch_lm_lag_12_stat,arch_lm_lag_12_p_value
BIG HiBM,ff3,5.118379409420252e-19,0.03426134672513969,1.1298045636715524,14.831127262900676,11088.396576307086,0.0,1.8091623260268364,41.27678725053416,4.4046434526061615e-05,379.2245240409826,9.421815969333966e-74
BIG LoBM,ff3,6.979608285573071e-19,0.011223228921097464,0.3877352978513257,1.8297342293181265,193.93764114746463,7.708614155199987e-43,1.872437422098118,12.063116365754151,0.4406240902904039,94.96126867558445,5.3703930513755055e-15
ME1 BM2,ff3,-1.861228876152819e-19,0.04058424707682391,1.5142934529072747,21.63550055562273,23517.846765243437,0.0,2.058674195755313,50.274862594607086,1.2500244465308403e-06,340.324621947868,1.5397731697288137e-65
ME1 BM3,ff3,3.164089089459792e-18,0.029448605960577152,2.2279034648187515,20.78613409396509,22271.81038682449,0.0,2.37750453584065,66.87454572652804,1.225211744032091e-09,94.15256160911346,7.717214211692511e-15
ME1 BM4,ff3,-1.2330641304512426e-18,0.022039927838901886,2.080718740208278,31.3581169123565,49314.4494042887,0.0,2.1799492083092984,55.67932185242515,1.3668956153578623e-07,124.37385924023849,8.272496888296645e-21
ME2 BM1,ff3,2.3265360951910238e-20,0.023882668162913786,0.07004661205940331,6.541849896034343,2107.2543837137355,0.0,2.3195707742123632,80.78796487063204,2.9192875669039285e-12,408.60822105457623,5.6854282601281874e-80
ME2 BM2,ff3,1.3959216571146142e-18,0.019195297417973472,1.0564193248127067,11.912869348025827,7210.910823748767,0.0,2.145384286696622,71.58741670842026,1.6145693177979898e-10,186.94181757738318,1.5992125818727888e-33
ME2 BM3,ff3,-1.1400026866436016e-18,0.01849269625859438,0.7429464786947214,16.60767891761162,13696.969164600614,0.0,1.9662491942946982,30.390389221425405,0.0024381744903159736,199.9960210830998,3.267629645739413e-36
ME2 BM4,ff3,2.058984444244056e-18,0.016347320580378397,1.6805073676155322,19.18682756307719,18697.02690145122,0.0,1.8881320728465052,32.1416041777375,0.0013158304086700893,201.1790157987203,1.8621895585502336e-36
ME2 BM5,ff3,5.955932403689021e-18,0.01890980124739921,0.3294701043853018,10.294095376612857,5239.912378734649,0.0,2.0614632346197967,62.17987793625739,9.014681449016719e-09,286.54414874157703,3.1237075114764477e-54
ME3 BM1,ff3,2.1869439294795625e-18,0.019858350547822954,1.6482680892772865,20.50455402028489,21253.229508758563,0.0,2.0389493488053736,20.653694696247246,0.05568739790076306,36.311622536928276,0.00028865506686698007
ME3 BM2,ff3,5.81634023797756e-20,0.017187309392217444,0.6519176621811807,5.36286685491968,1499.3085870938996,0.0,2.1198408866347562,10.189852105764473,0.599309184739963,225.52855265956993,1.691557540071225e-41
ME3 BM3,ff3,5.490625184650816e-18,0.017538755474731514,0.42342461479377413,7.498193468862418,2803.2270290043116,0.0,2.107815915857084,15.546898130865399,0.21288102051951885,166.72759647144858,2.227339495485467e-29
ME3 BM4,ff3,2.5824550656620365e-18,0.017738744101660115,0.05651564397275611,5.537822248416333,1509.5723939046427,0.0,2.0947986589830827,15.581302120705821,0.21117428387620754,209.9413783367375,2.8770704144358616e-38
ME3 BM5,ff3,2.280005373287203e-18,0.02311768303693874,1.6047550095456944,16.949256817388207,14663.093067880374,0.0,2.2393964680167606,29.52140019479357,0.003294548074368158,58.03325729020117,5.140463723089039e-08
ME4 BM1,ff3,3.4898041427865354e-19,0.01639834312434648,0.6338469482173628,4.739006073125182,1184.358080877892,6.605572120441386e-258,1.9782266619077804,18.94064768571921,0.08997089357393934,119.35565884442093,8.306826383722927e-20
ME4 BM2,ff3,2.0473517637681007e-18,0.016897422332293074,0.7320818548958967,6.691602799844581,2310.1887131136923,0.0,1.863933944554846,29.18828632093699,0.0036940452015018365,136.3093566242213,3.3239931059362156e-23
ME4 BM3,ff3,7.677569114130379e-19,0.018301905083414303,0.20984909878155927,4.786460845084387,1135.667440106752,2.471432436016225e-247,1.9087845194554538,13.747154694988614,0.3171451575176774,245.2253753051648,1.3533469555525442e-45
ME4 BM4,ff3,2.326536095191024e-18,0.019885811251911176,0.5059982480962375,5.785762429383176,1697.9894257834035,0.0,2.0799015588477734,25.014586875769748,0.01475390303611279,105.2538644217974,5.1726525284740935e-17
ME4 BM5,ff3,6.793485397957789e-18,0.02561859976691595,0.2383205787234393,3.517360253576407,619.3606962896938,3.2176118064032764e-135,2.0281639258468735,14.75861428740055,0.2549033598439174,144.72679470763683,6.637745017750642e-25
ME5 BM2,ff3,-2.326536095191024e-19,0.014103666971547447,0.2692876251125157,1.7300990439468693,161.06885552340412,1.0576510864593746e-35,1.9945527910621892,16.327619221026318,0.17668704839053365,171.42995083137694,2.4341047729304916e-30
ME5 BM3,ff3,1.465717739970345e-18,0.017196889087296045,-0.13680660407275355,3.1705331097114247,497.6432793081099,8.672312523687394e-109,1.8027989693677795,26.509428357307833,0.009085593068764658,148.25355231263862,1.2815410881344658e-25
ME5 BM4,ff3,-5.118379409420252e-19,0.018098938023695648,-0.2617522435794179,6.027798969097926,1801.6217412059261,0.0,1.9467987717964017,42.36510000162779,2.8907506272975622e-05,343.30442930119113,3.6242426813322744e-66
SMALL HiBM,ff3,1.5355138228260757e-18,0.02443081343322443,2.952113653933802,32.491953337982,53752.288589715565,0.0,2.3943684278097512,69.8312361853051,3.444506402391999e-10,47.309711204445136,4.119724237964233e-06
SMALL LoBM,ff3,4.2808264151514836e-18,0.06907796927586903,3.4580825114912352,53.90362539303292,145570.78135359357,0.0,2.050230402362916,136.2547379404544,3.409286278764224e-23,188.14173890109174,9.059143526363976e-34
