,SMALL HiBM,BIG LoBM,ME4 BM1,ME1 BM4,ME3 BM2,ME2 BM5,ME4 BM4,ME2 BM2,ME3 BM4,ME5 BM3,ME2 BM3,ME2 BM4,ME5 BM2,ME4 BM3,ME3 BM3,ME3 BM5,ME4 BM2,BIG HiBM,ME3 BM1,ME1 BM3,ME4 BM5,ME1 BM2,ME2 BM1,ME5 BM4,SMALL LoBM
SMALL HiBM,2.1208408478028812e-07,2.7192721588982435e-08,-8.319917646398856e-09,4.553687431943096e-08,-2.3376645884411723e-09,3.8937653006625716e-08,1.2641154028769213e-08,-6.371320253447995e-09,-1.3915822369446248e-08,1.2573517703532499e-08,-8.296470822994132e-09,-1.2967831088598428e-08,1.587599035186765e-08,7.802068424037448e-09,-1.2778893811051622e-08,-1.3757933958030229e-08,1.8702141081088095e-08,8.555421217162307e-10,6.222047806032534e-09,1.0606336058579598e-08,-5.18996275345913e-09,2.816301076178798e-08,1.2072281455546244e-08,1.033822546685467e-08,3.6909341936374246e-08
BIG LoBM,2.7192721588982435e-08,8.73689102227323e-08,1.2849403552459724e-11,2.85446420175656e-08,-1.0040615664606332e-08,1.8955690191115787e-08,-2.0994117988058523e-09,2.3030866038441687e-08,1.66995085283208e-08,-3.221260451246019e-08,3.105918972398151e-08,2.7933108599067712e-08,-3.376671261949248e-08,-7.619517491836968e-09,1.572867897628011e-08,3.178859477246942e-08,-4.046879666693784e-09,7.2680080158908826e-09,-3.3666150026292864e-09,3.4762048043014946e-08,1.2045561144558486e-08,2.0879451835870995e-08,1.5770888989724267e-09,-1.528256075960356e-08,3.2956234519367567e-09
ME4 BM1,-8.319917646398856e-09,1.2849403552459724e-11,1.8818315743852815e-07,3.797601799985222e-08,5.627020954674522e-08,2.9147865885456328e-08,3.906788991601122e-08,1.0424247214695066e-08,2.0194157474712325e-08,1.2788079919409868e-08,-9.137615865142388e-09,7.599039611998763e-09,1.7396206751518814e-08,3.899848882635217e-08,1.3022701059227823e-08,3.8795736162555424e-08,5.121769451732203e-08,5.148404729795579e-08,3.3152019365225235e-08,5.84632185502707e-09,3.9192031423948544e-08,4.0178369247717756e-08,3.597641664197096e-08,1.1677551368763264e-08,4.932492079239608e-08
ME1 BM4,4.553687431943096e-08,2.85446420175656e-08,3.797601799985222e-08,2.123086378926461e-07,3.4657072217272025e-08,8.057391609428386e-09,3.785253132563633e-08,3.877275919030337e-08,3.301340543131851e-08,4.7289890786725214e-08,2.6233756890457336e-08,2.137308771648909e-08,3.102253061401598e-08,2.728230038606532e-08,2.916767813327136e-08,1.4179740340475456e-08,4.6118339782230124e-08,6.7826601062783086e-09,2.576992633569776e-08,6.574761869874784e-08,-4.756424302630564e-09,7.142379671395892e-08,5.463966852792961e-08,2.8181258270947095e-08,3.666602753762135e-08
ME3 BM2,-2.3376645884411723e-09,-1.0040615664606332e-08,5.627020954674522e-08,3.4657072217272025e-08,1.7391940880295233e-07,2.6144884365283312e-08,8.468079755966959e-08,3.673628268406603e-08,3.314807491062637e-08,4.5798606545506746e-08,3.914031504535589e-08,2.9817185661228764e-08,5.229857202873749e-08,5.585025135702392e-08,5.799705909243267e-08,3.678140741589012e-08,6.956593807585902e-08,4.6150305135767464e-08,1.8186435707334276e-08,3.369943798708781e-08,2.5962034860576953e-08,2.6010219381665525e-08,1.7588800101587446e-08,3.307558701579626e-08,3.490849993119435e-08
ME2 BM5,3.8937653006625716e-08,1.8955690191115787e-08,2.9147865885456328e-08,8.057391609428386e-09,2.6144884365283312e-08,1.63304059616486e-07,9.842170857004647e-09,9.147914157799109e-09,9.982326224789216e-09,4.902071511782539e-09,1.4264471741517392e-08,-7.391900056603541e-09,2.886363452647783e-08,2.1442239564297255e-08,1.6024656721565556e-08,2.121766211151358e-08,3.4547990163233006e-08,1.354642904982597e-08,1.3948743561803794e-08,-3.1390076871497558e-09,5.582719018129487e-08,3.860394617656903e-08,3.387000656153024e-08,-6.64342659256215e-09,3.919096484424372e-08
ME4 BM4,1.2641154028769213e-08,-2.0994117988058523e-09,3.906788991601122e-08,3.785253132563633e-08,8.468079755966959e-08,9.842170857004647e-09,1.9527233629628781e-07,2.128301569506425e-08,4.3761139326886834e-08,3.6064205901009474e-08,1.1820746079313315e-08,3.1832606968309766e-08,3.202426220772147e-08,3.249456064403803e-08,3.605148565010117e-08,5.978001412890179e-08,3.022659428669602e-08,4.104798448411057e-08,6.4172371176224534e-09,2.9121729992605145e-08,3.879235182148643e-08,2.740718903772322e-08,4.747809194840838e-08,2.1694332005874784e-08,4.904606621943478e-08
ME2 BM2,-6.371320253447995e-09,2.3030866038441687e-08,1.0424247214695066e-08,3.877275919030337e-08,3.673628268406603e-08,9.147914157799109e-09,2.128301569506425e-08,2.1245797004225295e-07,4.576164221631449e-08,4.802693503943649e-08,3.473960178398885e-08,3.853277609449152e-08,2.2621434446025276e-08,4.2927066563310526e-08,6.08033584941488e-08,1.7240208591801205e-08,5.16249553088198e-08,1.508229637848395e-08,4.3399385574465677e-08,5.757218902200387e-08,6.512248022601546e-09,4.705742759624808e-08,6.002103529699434e-08,2.816232986366622e-08,3.21063642345545e-08
ME3 BM4,-1.3915822369446248e-08,1.66995085283208e-08,2.0194157474712325e-08,3.301340543131851e-08,3.314807491062637e-08,9.982326224789216e-09,4.3761139326886834e-08,4.576164221631449e-08,1.5763487869482515e-07,6.076654217183948e-08,4.9080224261575353e-08,1.8602572004339304e-08,2.14932101718289e-08,4.808816512842739e-08,5.011849123574558e-08,2.9304107898314125e-08,3.7514842860547104e-08,-2.1850341685121144e-08,2.3276925512318134e-08,2.8970238945445218e-09,1.2081053956289e-08,1.1352308760603734e-08,3.282631572776829e-08,2.016136224272317e-08,4.293678972791453e-08
ME5 BM3,1.2573517703532499e-08,-3.221260451246019e-08,1.2788079919409868e-08,4.7289890786725214e-08,4.5798606545506746e-08,4.902071511782539e-09,3.6064205901009474e-08,4.802693503943649e-08,6.076654217183948e-08,2.1053197593310135e-07,2.7659933747666473e-08,2.1866623193948537e-08,2.5117793310194586e-08,5.2493471718841195e-08,5.1310195219524675e-08,3.1909415128473585e-08,4.5901509068950734e-08,-4.6300428044603116e-08,2.7016252723006263e-08,7.079994472441629e-09,5.882996948270207e-09,4.3265448194792995e-08,3.194434111964607e-08,4.82756398693361e-08,8.040978209809217e-08
