portfolio,alpha,posterior_alpha,performance_rank,raw_alpha_rank,rank_change_after_shrinkage
SMALL HiBM,0.001408467265410005,0.0009752821545152673,1,1,0
BIG LoBM,0.0009818704185730433,0.0008427364617848246,2,2,0
ME3 BM2,0.0008608762830574474,0.0006317423643213968,3,3,0
ME1 BM4,0.0007034883391615926,0.0004621379891613875,4,4,0
ME3 BM3,0.00042934962903367724,0.00027208242449272666,5,5,0
ME4 BM1,0.00041496537444961384,0.00025382950691237694,6,6,0
ME3 BM4,0.0003657396449469181,0.0002290439974362322,7,7,0
ME2 BM5,0.0003124081954515614,0.00019279302979770832,8,8,0
ME2 BM4,0.00020498080346319157,0.00011825230955196347,9,10,1
ME2 BM3,0.00022044428862255197,0.000111015221930936,10,9,-1
ME4 BM4,0.00018868611703281183,7.444948945838884e-05,11,11,0
ME2 BM2,0.00017139834727828993,4.756867692427292e-05,12,12,0
ME5 BM2,-4.539148664726002e-05,-8.982353507533926e-05,13,13,0
ME4 BM2,-0.00011636091007066879,-0.00017749903915042722,14,14,0
ME4 BM3,-0.00012569055252948267,-0.00017756924583957177,15,15,0
ME5 BM3,-0.000318316199975882,-0.00033902901498416936,16,16,0
ME3 BM5,-0.000629352453346322,-0.0005737792624340764,17,17,0
BIG HiBM,-0.0016537288254573584,-0.0009861235451182131,18,20,2
ME1 BM3,-0.0012032903699126267,-0.0010207122957111262,19,19,0
ME3 BM1,-0.001180649065118598,-0.001051512951692949,20,18,-2
ME4 BM5,-0.0017549652967889487,-0.0013164948934204935,21,21,0
ME2 BM1,-0.002176897980685202,-0.0017382305879704806,22,22,0
ME5 BM4,-0.0024095272589464466,-0.0018946289192660016,23,23,0
ME1 BM2,-0.003963137915535806,-0.0020120761429087324,24,24,0
SMALL LoBM,-0.006749609404761478,-0.002663530917899995,25,25,0
