portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,window_start,window_end,window_length,rolling_step_months,rank,quintile
ME3 BM2,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.0033540137578434246,0.0015614968542068438,2.1479478161018024,0.03171790122341929,12,0.9452429326698741,0.026904818494381793,0.0033540137578434246,0.0015614968542068438,2.1479478161018024,0.03171790122341929,1.0665276758585942,0.035638072567913584,29.926637413574177,8.86220932141095e-197,0.49629585865862985,0.03964442985016158,12.518678173312336,5.9009680671796885e-36,-0.03967882729061921,0.03424415489739238,-1.1587036505795232,0.24657700229930313,0.0011518594648599616,0.0007571308455518647,0.19035145185147367,0.0015710427317303193,0.0008057303529561264,-8.188760063688539e-06,0.0031502742235243273,0.9744022159349351,188.5251278076383,0.0,0.3694309212767682,1,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,1,5
ME3 BM3,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.004570562334417377,0.0020663663838860927,2.2118838024367156,0.026974694713345883,12,0.9404346345948696,0.03040322598540753,0.004570562334417377,0.0020663663838860927,2.2118838024367156,0.026974694713345883,1.0418847912601803,0.0890323808815417,11.702313034247803,1.2402603644747963e-31,0.4384830503674018,0.06488751655582084,6.757587185359261,1.4030861455426473e-11,0.212162599178471,0.09172687830077782,2.31298179016599,0.020723640349245266,0.0011518594648599616,0.0007571308455518647,0.11836325646526819,0.0015565082693879341,0.0008513766613783696,-0.00011218998691367031,0.0032252065256895383,0.9662421199732568,186.7809923265521,0.0,0.3694309212767682,2,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,2,5
ME5 BM2,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.0024739213360134207,0.001454229068119908,1.7011909541952812,0.08890713590463269,12,0.9669199814097796,0.017769364900191365,0.0024739213360134207,0.001454229068119908,1.7011909541952812,0.08890713590463269,1.0249623504562422,0.038605129256247865,26.54990075678511,2.5749839579516668e-155,-0.17399824279894938,0.02465251911860791,-7.05803094449744,1.6887845795850747e-12,-0.044839805035627484,0.05345333735655978,-0.8388588487286427,0.4015485225319464,0.0011518594648599616,0.0007571308455518647,0.2132592517938186,0.0014338013903272841,0.0007910404623821579,-0.00011663791594174536,0.0029842406965963136,0.9650494698275234,172.05616683927408,0.0,0.3704463996026362,3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,3,5
SMALL HiBM,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.005080389067709704,0.0029131397676371226,1.7439565118533464,0.08116667327820154,12,0.9510161459359202,0.04210416706159344,0.005080389067709704,0.0029131397676371226,1.7439565118533464,0.08116667327820154,0.9868250421334626,0.07672638789001142,12.861612142462551,7.401666857756435e-38,1.4990949011065478,0.0931130787134946,16.09972435471934,2.5624357072227214e-58,0.8992122739630796,0.11678201562882466,7.699920823606096,1.3615056589431138e-14,0.0011518594648599616,0.0007571308455518647,0.06327488987034356,0.0014004367428326636,0.0008858341403026479,-0.0003357981721605263,0.0031366716578258534,0.9430523294727444,168.05240913991963,0.0,0.3704463996026362,4,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,4,5
BIG LoBM,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.0020441100017688585,0.0013577764240835103,1.505483498985202,0.13219981607049625,12,0.9776899101490503,0.013616123061608549,0.0020441100017688585,0.0013577764240835103,1.505483498985202,0.13219981607049625,1.0368587825159912,0.027846745258656894,37.2344693386979,1.8902014986064423e-303,-0.014996197561302238,0.023075376417381936,-0.6498787837760291,0.5157705236760002,-0.25526666020001937,0.02837770253426047,-8.995325111038687,2.3553406502727557e-19,0.0011518594648599616,0.0007571308455518647,0.23719223101412823,0.0013634943603329367,0.0007756000206610555,-0.00015668168016273222,0.0028836704008286056,0.9606250962209949,163.6193232399524,0.0,0.47214220025177234,5,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,5,5
ME2 BM5,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.0037314580680166297,0.0026656598817213144,1.3998252716348383,0.1615656481380301,12,0.9509469107481716,0.03936790140439432,0.0037314580680166297,0.0026656598817213144,1.3998252716348383,0.1615656481380301,0.9233606795827328,0.08611344523838256,10.722607567571478,7.972348711837853e-27,0.8435305268511295,0.15424952299478548,5.468610278163685,4.5357782458617133e-08,1.1162932306252853,0.10077934577803384,11.076607235414262,1.6293010515926274e-28,0.0011518594648599616,0.0007571308455518647,0.0746513718622405,0.001344430039439526,0.0008787490308773343,-0.0003779180610800491,0.003066778139959101,0.9369837512523405,161.33160473274313,0.0,0.504892650431344,6,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,6,4
ME1 BM4,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.0036910261973033686,0.0030950544062276876,1.192556159877675,0.2330432439873501,12,0.9284238015736103,0.04772766801097329,0.0036910261973033686,0.0030950544062276876,1.192556159877675,0.2330432439873501,1.0250877107939953,0.05023579299866275,20.405524619095445,1.4935064303239403e-92,1.6887935859761358,0.18236373590600166,9.260577919102374,2.0332866504544098e-20,0.4843315568157162,0.0642124363063146,7.542644146147862,4.6053660993572987e-14,0.0011518594648599616,0.0007571308455518647,0.05646303558289763,0.0012952285264248235,0.0008900691199553984,-0.0004493069486877575,0.0030397640015374042,0.9271930406952578,155.4274231709788,0.0,0.5589896512545646,7,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,7,4
ME4 BM2,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.002228919828532054,0.002858151182642187,0.7798467212191179,0.43548110199699686,12,0.9422303994505381,0.027167232143599847,0.002228919828532054,0.002858151182642187,0.7798467212191179,0.43548110199699686,1.057544342142848,0.05144267926990175,20.557722831547764,6.564224318112885e-94,0.2792708650594574,0.10011883802935438,2.7893937899836243,0.005280681373442369,0.032623295078707204,0.05933460641303836,0.5498190187967349,0.5824435125373552,0.0011518594648599616,0.0007571308455518647,0.06557184458351296,0.00122248429963373,0.000884404874271604,-0.0005109492539386138,0.0029559178532060737,0.916555241554956,146.6981159560476,0.0,0.7776448249946373,8,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,8,4
ME1 BM3,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.0025804503453331555,0.0037377362335641595,0.690377860845611,0.4899565955049423,12,0.8664988192375109,0.0674567452005687,0.0025804503453331555,0.0037377362335641595,0.690377860845611,0.4899565955049423,1.1502960512408384,0.13228245731045452,8.695756600145412,3.4452627478007187e-18,1.377413959067692,0.17081839764121234,8.063615969286973,7.407019667011609e-16,0.4808304492129309,0.13207942411803292,3.640464458591493,0.0002721466739898961,0.0011518594648599616,0.0007571308455518647,0.03941489956620947,0.0012081672309350153,0.0009006445417735065,-0.0005570960709410575,0.0029734305328110878,0.9101123729832845,144.98006771220182,0.0,0.7975255616106458,9,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,9,4
BIG HiBM,ff3,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,0.0049687641120457,0.00889271679390396,0.5587453448930065,0.5763355278665319,12,0.834087021174612,0.07758699067241834,0.0049687641120457,0.00889271679390396,0.5587453448930065,0.5763355278665319,1.1381246270823906,0.11415363692235544,9.97011271622047,2.059949254305863e-23,-0.4613323805493421,0.18590173914682204,-2.4815926019120758,0.013079672030640758,1.2246632136695608,0.0875393941402506,13.989852519512251,1.7978436362228034e-44,0.0011518594648599616,0.0007571308455518647,0.00719674555829934,0.0011793287564260478,0.0009205419893942158,-0.0006249335427866152,0.0029835910556387105,0.8999250035944931,141.51945077112572,0.0,0.7975255616106458,10,1926-07-31 23:59:59.999999999,1936-06-30 23:59:59.999999999,120,12,10,4
