portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,window_start,window_end,window_length,rolling_step_months,rank,quintile,sensitivity_window
ME3 BM3,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.003381468818840914,0.0011218257875002028,3.0142548482290996,0.0025761131148261955,12,0.9764699131576984,0.01636112416021453,0.003381468818840914,0.0011218257875002028,3.0142548482290996,0.0025761131148261955,1.0140229651695878,0.024114381967920966,42.05054753294232,0.0,0.6303474073899993,0.06120007795245913,10.299781119227656,7.062180582324118e-25,0.2258889338635184,0.03866326372205146,5.842469365427199,5.143264699695661e-09,3.4078589282234996e-05,0.0020625404750622364,0.7717046785454158,0.002617275290349881,0.0009952188997987609,0.0006666462467443096,0.004567904333955452,0.9957288581967019,314.0730348419857,0.0,0.032201413935327446,1,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,1,5,60
ME3 BM2,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.0035409389250333012,0.0025298879036534327,1.3996426165443145,0.16162036548097236,12,0.9693321450947212,0.018888260756049737,0.0035409389250333012,0.0025298879036534327,1.3996426165443145,0.16162036548097236,1.165522314460547,0.05641053080037989,20.661431437065968,7.704621050728918e-95,0.6155397751089232,0.10995772943024361,5.597967312515463,2.168796303782329e-08,-0.1878784030863365,0.07941916343153807,-2.3656557809034826,0.017998169608680226,3.4078589282234996e-05,0.0020625404750622364,0.39927830840620954,0.0014342918519577527,0.0016398101318878219,-0.001779736006542378,0.004648319710457883,0.8091231106439913,172.11502223493034,0.0,0.8217710551909565,2,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,2,5,60
ME2 BM4,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.002337693299020679,0.0017851971541997414,1.309487466704263,0.1903692804970959,12,0.9845384004902326,0.014205649246791251,0.002337693299020679,0.0017851971541997414,1.309487466704263,0.1903692804970959,0.9956088212154296,0.023094894130134373,43.1094776016467,0.0,0.8256822916333862,0.05843785122494333,14.129237717093815,2.5084485398921343e-45,0.30706626520511343,0.05855060677210632,5.244459146261157,1.5674143006786294e-07,3.4078589282234996e-05,0.0020625404750622364,0.5717070307808735,0.0013510713150499446,0.0013747113751563832,-0.0013433629802565663,0.004045505610356456,0.8371479499023353,162.12855780599332,0.0,0.8217710551909565,3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,3,5,60
ME5 BM4,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.0017111910970053364,0.0013569178780418406,1.2610867059064363,0.20727760976750842,12,0.9730101834053512,0.015568742050813832,0.0017111910970053364,0.0013569178780418406,1.2610867059064363,0.20727760976750842,0.9864940830007529,0.03974358519028027,24.821466867614422,5.2585068669779926e-136,-0.03127701994052424,0.08524612933382533,-0.36690252314029276,0.7136917293218117,0.6641394744776477,0.07006332270357267,9.47913186029617,2.564073370728268e-21,3.4078589282234996e-05,0.0020625404750622364,0.6979268735888292,0.0012045804784541403,0.0011483851716115275,-0.0010462544579044539,0.0034554154148127344,0.8528957975750675,144.54965741449683,0.0,0.8217710551909565,4,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,4,5,60
ME4 BM1,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.0017081118832561167,0.0015995570198244402,1.067865579086134,0.28558115117191174,12,0.9513209189312871,0.018651289045341995,0.0017081118832561167,0.0015995570198244402,1.067865579086134,0.28558115117191174,1.0348714171682794,0.07535939189239083,13.732480997803437,6.487338353666075e-43,0.1515621754685692,0.08490582077278723,1.7850622500212106,0.07425122027392002,-0.12853848291844439,0.08729949353170088,-1.4723852077305406,0.14091688537839142,3.4078589282234996e-05,0.0020625404750622364,0.6244368263801993,0.001079406626626077,0.0012844603709677711,-0.0014381357004707542,0.003596948953722908,0.7996461717953274,129.52879519512922,0.0,0.8217710551909565,5,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,5,5,60
ME2 BM2,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.001872620563401031,0.0019094739130078378,0.9806997365317472,0.32674083385134556,12,0.9772011719964966,0.018349833893691714,0.001872620563401031,0.0019094739130078378,0.9806997365317472,0.32674083385134556,1.0967818749922118,0.05214401899133917,21.033704271517337,3.224623739212607e-98,1.0034035975450153,0.1113919930284699,9.007861070306573,2.1011431441449715e-19,0.03617199475174238,0.060990523732425375,0.5930756540218343,0.55313052286124,3.4078589282234996e-05,0.0020625404750622364,0.5384791125509938,0.0010240950398934764,0.0014290277544384983,-0.0017767993588059803,0.003824989438592933,0.7632011353471825,122.89140478721716,0.0,0.8217710551909565,6,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,6,4,60
ME5 BM3,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.001702152531644356,0.0018119633418756656,0.939396781549875,0.3475270648319889,12,0.9558500857967974,0.014579596176005271,0.001702152531644356,0.0018119633418756656,0.939396781549875,0.3475270648319889,0.9029916320550142,0.050541339314349336,17.866396979287078,2.154695612698051e-71,-0.23138119696505297,0.068647864998854,-3.370551975198582,0.0007501775306264986,0.17364036502527205,0.06528995375356077,2.6595265434048816,0.007825056389943994,3.4078589282234996e-05,0.0020625404750622364,0.5644039691311799,0.000975546143155711,0.0013868065701484566,-0.0017425947343352637,0.003693687020646686,0.7591116618891471,117.06553717868532,0.0,0.8217710551909565,7,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,7,4,60
ME3 BM5,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.0035031090412105826,0.0039426585284525785,0.8885144416971583,0.37426409100338665,12,0.9683383947475753,0.027784134626807566,0.0035031090412105826,0.0039426585284525785,0.8885144416971583,0.37426409100338665,1.0456621311998435,0.10491193589461845,9.967046383074909,2.1245287940735684e-23,1.0961734211818195,0.20371029218963324,5.381040935140358,7.405635021257788e-08,1.1583585841555712,0.09815946773287432,11.80078306157755,3.866961183603408e-32,3.4078589282234996e-05,0.0020625404750622364,0.21486705505898882,0.0007794589463980321,0.001888913826327772,-0.002922812153204401,0.004481730046000465,0.6600682079689352,93.53507356776385,0.0,0.8217710551909565,8,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,8,4,60
ME4 BM4,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.0014219876231350694,0.0027939731162781208,0.5089482124399655,0.6107885246065919,12,0.9549277519017406,0.02255456518557468,0.0014219876231350694,0.0027939731162781208,0.5089482124399655,0.6107885246065919,1.1015064377212491,0.06461847159761205,17.04630905819745,3.7231400833161636e-65,0.41292168555447745,0.14909908763404278,2.76944475051367,0.00561519268408636,0.19982087376850338,0.09470806309309157,2.109861264632696,0.03487030757258976,3.4078589282234996e-05,0.0020625404750622364,0.3527318893487899,0.0005236383650373988,0.0017054245806650892,-0.0028189938130661757,0.003866270543140974,0.6205946084751517,62.83660380448786,0.0,0.8217710551909565,9,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,9,4,60
ME3 BM1,ff3,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,0.0008191584653796715,0.0017496489479303557,0.46818447000390956,0.6396526770060829,12,0.9767143067370465,0.016846307428454367,0.0008191584653796715,0.0017496489479303557,0.46818447000390956,0.6396526770060829,1.1864315979062863,0.04674454407903205,25.38117808787181,4.06997592769717e-142,0.7067670123616402,0.05438377595159655,12.99591652096183,1.290523800616668e-38,-0.2686034881306294,0.06448430293399192,-4.165408881066452,3.1079503855059785e-05,3.4078589282234996e-05,0.0020625404750622364,0.5815273802517998,0.0004906240329175848,0.001358300207878802,-0.002171644374524867,0.0031528924403600367,0.6410266792905773,58.87488395011018,0.0,0.8217710551909565,10,1936-07-31 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,10,4,60
