portfolio,model_type,factor_model,sample_start,sample_end,n_obs,alpha,sigma_v,sigma_u,lambda,log_likelihood,AIC,BIC,u_hat,u_hat_standardized,AE,AE_median,AE_raw_plugin_legacy,normal_log_likelihood,boundary_lr_stat,sfa_boundary_p_value,sfa_supported_nominal_5pct,residual_mean,residual_std,converged,message,runtime_seconds,coef_alpha,coef_mkt_rf,coef_smb,coef_hml,sfa_boundary_q_value,sfa_supported_fdr_5pct,sfa_rank,AE_rank
ME5 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.009593151866388197,0.015531043035852897,0.015196441310526373,0.97845593985194,3099.9471143151413,-6187.894228630283,-6157.388870097695,0.012028775330661453,0.5535841637084575,0.6212230167986493,0.6373331282661993,0.9880560941390759,3093.9056436404535,12.082941349375687,0.00025442628125263157,True,-2.7523245744072764e-09,0.013461270786699174,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.168330116001016,0.009593151866388197,1.0291014719209088,-0.1715939207172161,0.664113471929255,0.006360657031315789,True,1,1
BIG HiBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.0016537288254573584,0.03424698439094114,0.0,0.0,2332.575338447865,-4653.15067689573,-4622.645318363142,0.0,0.0,1.0,1.0,1.0,2332.5753506870183,0.0,0.5,False,5.118379409420252e-19,0.03426134672513969,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23919596199993975,-0.0016537288254573584,1.1759600685811493,-0.14235027301157743,0.99638828681976,0.5,False,,
BIG LoBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0009818704185730433,0.011218524150854638,0.0,0.0,3664.001662032192,-7316.003324064384,-7285.497965531797,0.0,0.0,1.0,1.0,1.0,3664.0017172881917,0.0,0.5,False,6.979608285573071e-19,0.011223228921097464,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28125939600067795,0.0009818704185730433,1.0309023832594493,-0.1495699455211156,-0.2692739946717192,0.5,False,,
ME1 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.003963137915535806,0.04056723418692236,0.0,0.0,2130.526246137876,-4249.052492275752,-4218.5471337431645,0.0,0.0,1.0,1.0,1.0,2130.526261366034,0.0,0.5,False,-1.861228876152819e-19,0.04058424707682391,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2683643119999033,-0.003963137915535806,1.0708113660894525,1.5297170589151574,0.2055286468648379,0.5,False,,
ME1 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.0012032903699126267,0.029436261124167765,0.0,0.0,2513.161210127539,-5014.322420255078,-4983.8170617224905,0.0,0.0,1.0,1.0,1.0,2513.16122558958,0.0,0.5,False,3.164089089459792e-18,0.029448605960577152,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2308513980024145,-0.0012032903699126267,1.0493270119369331,1.2376463465285843,0.492636450658873,0.5,False,,
ME1 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0007034883391615926,0.022030688715528435,0.0,0.0,2858.8817021673603,-5705.763404334721,-5675.258045802133,0.0,0.0,1.0,1.0,1.0,2858.881725137898,0.0,0.5,False,-1.2330641304512426e-18,0.022039927838901886,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2698499050020473,0.0007034883391615926,0.9424326055724839,1.233064752452349,0.5751768397230548,0.5,False,,
ME2 BM1,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.002176897980685202,0.02387265656399853,0.0,0.0,2764.3597495700556,-5516.719499140111,-5486.214140607523,0.0,0.0,1.0,1.0,1.0,2763.087041208439,2.5454167232328473,0.05530736125154013,False,2.3265360951910238e-20,0.023882668162913786,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.15608656499898643,-0.002176897980685202,1.0860005640793624,1.1516290073030369,-0.22902413813933564,0.35171386882313727,False,,
ME2 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00017139834727828993,0.019187250761816925,0.0,0.0,3023.742823098454,-6035.485646196908,-6004.980287664321,0.0,0.0,1.0,1.0,1.0,3023.742857180988,0.0,0.5,False,1.3959216571146142e-18,0.019195297417973472,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3129205869990983,0.00017139834727828993,1.022611556561728,1.005266769756432,0.11752203246104498,0.5,False,,
ME2 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00022044428862255197,0.018484944132385543,0.0,0.0,3068.2291675622946,-6124.458335124589,-6093.9529765920015,0.0,0.0,1.0,1.0,1.0,3068.2291896280176,0.0,0.5,False,-1.1400026866436016e-18,0.01849269625859438,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28204010499757715,0.00022044428862255197,0.9902174689234707,0.8311394221559191,0.3433216093807043,0.5,False,,
ME2 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00020498080346319157,0.016340467794254437,0.0,0.0,3215.3402137657795,-6418.680427531559,-6388.175068998971,0.0,0.0,1.0,1.0,1.0,3215.340229375441,0.0,0.5,False,2.058984444244056e-18,0.016347320580378397,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.29593587999988813,0.00020498080346319157,0.9686510498876327,0.8292512860619831,0.5838821527756692,0.5,False,,
ME2 BM5,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0003124081954515614,0.018901874271051142,0.0,0.0,3041.6027826519967,-6071.205565303993,-6040.700206771406,0.0,0.0,1.0,1.0,1.0,3041.619903391883,0.0,0.5,False,5.955932403689021e-18,0.01890980124739921,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.18553220899775624,0.0003124081954515614,1.0658219368606172,0.9257365397424602,0.8840192546103646,0.5,False,,
ME3 BM1,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.001180649065118598,0.019850025940226886,0.0,0.0,2983.2294193857892,-5954.4588387715785,-5923.953480238991,0.0,0.0,1.0,1.0,1.0,2983.2294381763886,0.0,0.5,False,2.1869439294795625e-18,0.019858350547822954,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2719010619985056,-0.001180649065118598,1.1238691180534537,0.8108561174315059,-0.21840893470248265,0.5,False,,
ME3 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0008608762830574474,0.017180104483331488,0.0,0.0,3155.562221545474,-6299.124443090948,-6268.619084558361,0.0,0.0,1.0,1.0,1.0,3155.5622438341015,0.0,0.5,False,5.81634023797756e-20,0.017187309392217444,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.35143670899924473,0.0008608762830574474,1.0172262186384498,0.5606923055678528,0.04742354299338967,0.5,False,,
