portfolio,AE_half_normal,AE_rank_half_normal,log_likelihood_half_normal,AIC_half_normal,BIC_half_normal,converged_half_normal,boundary_mixture_p_value_half_normal,one_sided_component_supported_half_normal,AE_truncated_normal,AE_rank_truncated_normal,log_likelihood_truncated_normal,AIC_truncated_normal,BIC_truncated_normal,converged_truncated_normal,AE_difference,rank_difference,valid_for_cross_distribution_rank_comparison,rank_spearman
ME5 BM3,0.6285895676692889,1,3158.0043306103134,-6304.008661220627,-6273.503302688039,True,0.006338311367627318,True,0.005351274519267371,20,3154.8974725447806,-6295.794945089561,-6260.205360134876,True,0.6232382931500214,-19,True,
ME5 BM4,0.6212230167986493,2,3099.9471143151413,-6187.894228630283,-6157.388870097695,True,0.00025442628125263157,True,0.02366190672098649,5,3093.9056422910567,-6173.811284582113,-6138.221699627428,True,0.5975611100776629,-3,True,
BIG HiBM,1.0,,2332.575338447865,-4653.15067689573,-4622.645318363142,True,0.5,False,0.027636207454391867,4,2332.575318218638,-4651.150636437276,-4615.561051482591,True,0.9723637925456081,,False,
BIG LoBM,1.0,,3664.001662032192,-7316.003324064384,-7285.497965531797,True,0.5,False,0.0007980510759679496,25,3664.0017031379202,-7314.0034062758405,-7278.413821321155,True,0.999201948924032,,False,
ME1 BM2,1.0,,2130.526246137876,-4249.052492275752,-4218.5471337431645,True,0.5,False,0.022344220984948614,6,2130.5262377358486,-4247.052475471697,-4211.462890517012,True,0.9776557790150514,,False,
ME1 BM3,1.0,,2513.161210127539,-5014.322420255078,-4983.8170617224905,True,0.5,False,0.019423802802386838,9,2513.1611858443957,-5012.3223716887915,-4976.732786734106,True,0.9805761971976131,,False,
ME1 BM4,1.0,,2858.8817021673603,-5705.763404334721,-5675.258045802133,True,0.5,False,0.006828582682541574,19,2858.88166202667,-5703.76332405334,-5668.173739098655,True,0.9931714173174584,,False,
ME2 BM1,1.0,,2764.3597495700556,-5516.719499140111,-5486.214140607523,True,0.05530736125154013,False,0.03614280008962291,3,2763.086986452353,-5512.173972904706,-5476.584387950021,True,0.9638571999103771,,False,
ME2 BM2,1.0,,3023.742823098454,-6035.485646196908,-6004.980287664321,True,0.5,False,0.02060467493495073,8,3023.7427900600705,-6033.485580120141,-5997.895995165456,True,0.9793953250650492,,False,
ME2 BM3,1.0,,3068.2291675622946,-6124.458335124589,-6093.9529765920015,True,0.5,False,0.014230631899154265,16,3068.229181844199,-6122.458363688398,-6086.868778733713,True,0.9857693681008457,,False,
ME2 BM4,1.0,,3215.3402137657795,-6418.680427531559,-6388.175068998971,True,0.5,False,0.007381370397555576,18,3215.3402273858837,-6416.6804547717675,-6381.090869817082,True,0.9926186296024444,,False,
ME2 BM5,1.0,,3041.6027826519967,-6071.205565303993,-6040.700206771406,True,0.5,False,0.017280009248135338,10,3041.6199032919185,-6069.239806583837,-6033.650221629152,True,0.9827199907518647,,False,
ME3 BM1,1.0,,2983.2294193857892,-5954.4588387715785,-5923.953480238991,True,0.5,False,0.009907984655073877,17,2983.229391794275,-5952.45878358855,-5916.869198633865,True,0.9900920153449261,,False,
ME3 BM2,1.0,,3155.562221545474,-6299.124443090948,-6268.619084558361,True,0.5,False,0.0024173761231871126,24,3155.562228778571,-6297.124457557142,-6261.534872602457,True,0.9975826238768128,,False,
ME3 BM3,1.0,,3131.413798340519,-6250.827596681038,-6220.32223814845,True,0.5,False,0.01665058998034528,12,3131.413837764898,-6248.827675529796,-6213.238090575111,True,0.9833494100196547,,False,
ME3 BM4,1.0,,3119.1464637937224,-6226.292927587445,-6195.787569054857,True,0.05627421901170196,False,0.014376345362519883,15,3117.8874182449663,-6221.774836489933,-6186.1852515352475,True,0.9856236546374801,,False,
ME3 BM5,1.0,,2801.925360986209,-5591.850721972418,-5561.34536343983,True,0.5,False,0.01633058545220558,13,2801.9253332436,-5589.8506664872,-5554.261081532515,True,0.9836694145477944,,False,
ME4 BM1,1.0,,3211.622462446932,-6411.244924893864,-6380.739566361276,True,0.5,False,0.00337755102482481,23,3211.6224848035536,-6409.244969607107,-6373.655384652422,True,0.9966224489751752,,False,
ME4 BM2,1.0,,3175.855367668293,-6339.710735336586,-6309.205376803999,True,0.5,False,0.005128502203771404,21,3175.855411382228,-6337.710822764456,-6302.121237809771,True,0.9948714977962286,,False,
ME4 BM3,1.0,,3080.5452077274776,-6149.090415454955,-6118.585056922368,True,0.5,False,0.015437167452191014,14,3080.6014309030857,-6147.202861806171,-6111.613276851486,True,0.984562832547809,,False,
ME4 BM4,1.0,,2981.580834151041,-5951.161668302082,-5920.656309769494,True,0.5,False,0.020654617746301656,7,2981.5806513705875,-5949.161302741175,-5913.57171778649,True,0.9793453822536984,,False,
ME4 BM5,1.0,,2679.3794254347804,-5346.758850869561,-5316.253492336973,True,0.5,False,0.0538780329413189,2,2679.3794026184105,-5344.758805236821,-5309.169220282136,True,0.9461219670586811,,False,
ME5 BM2,1.0,,3391.4617950537217,-6770.9235901074435,-6740.418231574856,True,0.5,False,0.005096337799156465,22,3391.461830785833,-6768.923661571666,-6733.334076616981,True,0.9949036622008436,,False,
SMALL HiBM,1.0,,2736.0152742565524,-5460.030548513105,-5429.525189980517,True,0.5,False,0.016748534608668684,11,2736.0152425793553,-5458.030485158711,-5422.440900204026,True,0.9832514653913313,,False,
SMALL LoBM,1.0,,1496.0222072906013,-2980.0444145812025,-2949.539056048615,True,0.5,False,0.9884109040267485,1,1496.0196804118643,-2978.0393608237287,-2942.449775869043,True,0.011589095973251529,,False,
