portfolio,model_type,factor_model,sample_start,sample_end,number_of_portfolios,number_of_observations,n_obs,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,normal_log_likelihood,boundary_lr_stat,boundary_mixture_p_value,one_sided_component_supported,converged,runtime_seconds,residual_mean,residual_std,residual_skewness,residual_kurtosis,jarque_bera_p_value,durbin_watson,ljung_box_lag_12_p_value,arch_lm_lag_12_p_value
BIG HiBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2332.575338447865,-4653.15067689573,-4622.645318363142,0.03424698439094114,0.0,0.0,2332.5753506870183,0.0,0.5,False,True,0.31172591899940016,5.118379409420252e-19,0.03426134672513969,1.1298045636715524,14.831127262900676,0.0,1.8091623260268364,4.4046434526061615e-05,9.421815969333966e-74
BIG LoBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3664.001662032192,-7316.003324064384,-7285.497965531797,0.011218524150854638,0.0,0.0,3664.0017172881917,0.0,0.5,False,True,0.2443765150001127,6.979608285573071e-19,0.011223228921097464,0.3877352978513257,1.8297342293181265,7.708614155199987e-43,1.872437422098118,0.4406240902904039,5.3703930513755055e-15
ME1 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2130.526246137876,-4249.052492275752,-4218.5471337431645,0.04056723418692236,0.0,0.0,2130.526261366034,0.0,0.5,False,True,0.19618409600025188,-1.861228876152819e-19,0.04058424707682391,1.5142934529072747,21.63550055562273,0.0,2.058674195755313,1.2500244465308403e-06,1.5397731697288137e-65
ME1 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2513.161210127539,-5014.322420255078,-4983.8170617224905,0.029436261124167765,0.0,0.0,2513.16122558958,0.0,0.5,False,True,0.1875610550005149,3.164089089459792e-18,0.029448605960577152,2.2279034648187515,20.78613409396509,0.0,2.37750453584065,1.225211744032091e-09,7.717214211692511e-15
ME1 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2858.8817021673603,-5705.763404334721,-5675.258045802133,0.022030688715528435,0.0,0.0,2858.881725137898,0.0,0.5,False,True,0.2448920659999203,-1.2330641304512426e-18,0.022039927838901886,2.080718740208278,31.3581169123565,0.0,2.1799492083092984,1.3668956153578623e-07,8.272496888296645e-21
ME2 BM1,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2764.3597495700556,-5516.719499140111,-5486.214140607523,0.02387265656399853,0.0,0.0,2763.087041208439,2.5454167232328473,0.05530736125154013,False,True,0.1524129110002832,2.3265360951910238e-20,0.023882668162913786,0.07004661205940331,6.541849896034343,0.0,2.3195707742123632,2.9192875669039285e-12,5.6854282601281874e-80
ME2 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3023.742823098454,-6035.485646196908,-6004.980287664321,0.019187250761816925,0.0,0.0,3023.742857180988,0.0,0.5,False,True,0.2515936280005917,1.3959216571146142e-18,0.019195297417973472,1.0564193248127067,11.912869348025827,0.0,2.145384286696622,1.6145693177979898e-10,1.5992125818727888e-33
ME2 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3068.2291675622946,-6124.458335124589,-6093.9529765920015,0.018484944132385543,0.0,0.0,3068.2291896280176,0.0,0.5,False,True,0.2525942940001187,-1.1400026866436016e-18,0.01849269625859438,0.7429464786947214,16.60767891761162,0.0,1.9662491942946982,0.0024381744903159736,3.267629645739413e-36
ME2 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3215.3402137657795,-6418.680427531559,-6388.175068998971,0.016340467794254437,0.0,0.0,3215.340229375441,0.0,0.5,False,True,0.28759469500073465,2.058984444244056e-18,0.016347320580378397,1.6805073676155322,19.18682756307719,0.0,1.8881320728465052,0.0013158304086700893,1.8621895585502336e-36
ME2 BM5,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3041.6027826519967,-6071.205565303993,-6040.700206771406,0.018901874271051142,0.0,0.0,3041.619903391883,0.0,0.5,False,True,0.20333882900013123,5.955932403689021e-18,0.01890980124739921,0.3294701043853018,10.294095376612857,0.0,2.0614632346197967,9.014681449016719e-09,3.1237075114764477e-54
